Species,Duplication,Similarity,Number,PhyloOrder
Eguineensis,dispersed,Different,57,2
Eguineensis,proximal,Different,11,2
Eguineensis,tandem,Different,31,2
Eguineensis,transposed,Different,112,2
Eguineensis,wgd,Different,208,2
Eguineensis,dispersed,Same,365,2
Eguineensis,proximal,Same,74,2
Eguineensis,tandem,Same,435,2
Eguineensis,transposed,Same,485,2
Eguineensis,wgd,Same,1576,2
Eguineensis,dispersed,Undetermined,369,2
Eguineensis,proximal,Undetermined,32,2
Eguineensis,tandem,Undetermined,208,2
Eguineensis,transposed,Undetermined,549,2
Eguineensis,wgd,Undetermined,1742,2
