Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Eguineensis,unM-unM,unM,unM,0,0,402,0.165500205846027,0-0
Eguineensis,unM-unM,unM,unM,1,0,0,0,1-0
Eguineensis,unM-unM,unM,unM,0,1,1048,0.431453272951832,0-1
Eguineensis,unM-unM,unM,unM,1,1,979,0.403046521202141,1-1
Eguineensis,unM-teM,unM,teM,0,0,8,0.0457142857142857,0-0
Eguineensis,unM-teM,unM,teM,1,0,20,0.114285714285714,1-0
Eguineensis,unM-teM,unM,teM,0,1,49,0.28,0-1
Eguineensis,unM-teM,unM,teM,1,1,98,0.56,1-1
Eguineensis,gbM-gbM,gbM,gbM,0,0,27,0.10188679245283,0-0
Eguineensis,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Eguineensis,gbM-gbM,gbM,gbM,0,1,88,0.332075471698113,0-1
Eguineensis,gbM-gbM,gbM,gbM,1,1,150,0.566037735849057,1-1
Eguineensis,gbM-unM,gbM,unM,0,0,24,0.134831460674157,0-0
Eguineensis,gbM-unM,gbM,unM,1,0,40,0.224719101123595,1-0
Eguineensis,gbM-unM,gbM,unM,0,1,32,0.179775280898876,0-1
Eguineensis,gbM-unM,gbM,unM,1,1,82,0.460674157303371,1-1
Eguineensis,gbM-teM,gbM,teM,0,0,0,0,0-0
Eguineensis,gbM-teM,gbM,teM,1,0,2,0.08,1-0
Eguineensis,gbM-teM,gbM,teM,0,1,3,0.12,0-1
Eguineensis,gbM-teM,gbM,teM,1,1,20,0.8,1-1
Eguineensis,teM-teM,teM,teM,0,0,5,0.0704225352112676,0-0
Eguineensis,teM-teM,teM,teM,1,0,0,0,1-0
Eguineensis,teM-teM,teM,teM,0,1,8,0.112676056338028,0-1
Eguineensis,teM-teM,teM,teM,1,1,58,0.816901408450704,1-1
