Species,Duplication,Classification,Number,PhyloOrder
Eguineensis,dispersed,gbM-gbM,34,2
Eguineensis,proximal,gbM-gbM,2,2
Eguineensis,tandem,gbM-gbM,27,2
Eguineensis,transposed,gbM-gbM,44,2
Eguineensis,wgd,gbM-gbM,181,2
Eguineensis,dispersed,gbM-teM,7,2
Eguineensis,proximal,gbM-teM,0,2
Eguineensis,tandem,gbM-teM,2,2
Eguineensis,transposed,gbM-teM,7,2
Eguineensis,wgd,gbM-teM,10,2
Eguineensis,dispersed,gbM-Unclassified,59,2
Eguineensis,proximal,gbM-Unclassified,2,2
Eguineensis,tandem,gbM-Unclassified,22,2
Eguineensis,transposed,gbM-Unclassified,97,2
Eguineensis,wgd,gbM-Unclassified,295,2
Eguineensis,dispersed,gbM-unM,20,2
Eguineensis,proximal,gbM-unM,1,2
Eguineensis,tandem,gbM-unM,9,2
Eguineensis,transposed,gbM-unM,44,2
Eguineensis,wgd,gbM-unM,117,2
Eguineensis,dispersed,teM-teM,13,2
Eguineensis,proximal,teM-teM,2,2
Eguineensis,tandem,teM-teM,17,2
Eguineensis,transposed,teM-teM,35,2
Eguineensis,wgd,teM-teM,4,2
Eguineensis,dispersed,teM-Unclassified,31,2
Eguineensis,proximal,teM-Unclassified,5,2
Eguineensis,tandem,teM-Unclassified,13,2
Eguineensis,transposed,teM-Unclassified,46,2
Eguineensis,wgd,teM-Unclassified,37,2
Eguineensis,dispersed,Unclassified-Unclassified,107,2
Eguineensis,proximal,Unclassified-Unclassified,8,2
Eguineensis,tandem,Unclassified-Unclassified,104,2
Eguineensis,transposed,Unclassified-Unclassified,135,2
Eguineensis,wgd,Unclassified-Unclassified,637,2
Eguineensis,dispersed,unM-teM,30,2
Eguineensis,proximal,unM-teM,10,2
Eguineensis,tandem,unM-teM,20,2
Eguineensis,transposed,unM-teM,61,2
Eguineensis,wgd,unM-teM,81,2
Eguineensis,dispersed,unM-Unclassified,172,2
Eguineensis,proximal,unM-Unclassified,17,2
Eguineensis,tandem,unM-Unclassified,69,2
Eguineensis,transposed,unM-Unclassified,271,2
Eguineensis,wgd,unM-Unclassified,773,2
Eguineensis,dispersed,unM-unM,318,2
Eguineensis,proximal,unM-unM,70,2
Eguineensis,tandem,unM-unM,391,2
Eguineensis,transposed,unM-unM,406,2
Eguineensis,wgd,unM-unM,1391,2
