Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Mdomestica,unM-teM,unM,teM,0,0,0,0,0-0
Mdomestica,unM-teM,unM,teM,1,0,2,0.00161290322580645,1-0
Mdomestica,unM-teM,unM,teM,0,1,9,0.00725806451612903,0-1
Mdomestica,unM-teM,unM,teM,1,1,1229,0.991129032258064,1-1
Mdomestica,gbM-teM,gbM,teM,0,1,3,0.0075187969924812,0-1
Mdomestica,gbM-teM,gbM,teM,1,1,396,0.992481203007519,1-1
Mdomestica,gbM-teM,gbM,teM,0,0,0,0,0-0
Mdomestica,gbM-teM,gbM,teM,1,0,0,0,1-0
Mdomestica,gbM-unM,gbM,unM,0,0,1,0.000974658869395711,0-0
Mdomestica,gbM-unM,gbM,unM,1,0,18,0.0175438596491228,1-0
Mdomestica,gbM-unM,gbM,unM,0,1,8,0.00779727095516569,0-1
Mdomestica,gbM-unM,gbM,unM,1,1,999,0.973684210526316,1-1
Mdomestica,unM-unM,unM,unM,0,0,0,0,0-0
Mdomestica,unM-unM,unM,unM,1,0,0,0,1-0
Mdomestica,unM-unM,unM,unM,0,1,68,0.0115078693518362,0-1
Mdomestica,unM-unM,unM,unM,1,1,5841,0.988492130648164,1-1
Mdomestica,teM-teM,teM,teM,0,0,0,0,0-0
Mdomestica,teM-teM,teM,teM,1,0,0,0,1-0
Mdomestica,teM-teM,teM,teM,0,1,7,0.00658513640639699,0-1
Mdomestica,teM-teM,teM,teM,1,1,1056,0.993414863593603,1-1
Mdomestica,gbM-gbM,gbM,gbM,0,0,0,0,0-0
Mdomestica,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Mdomestica,gbM-gbM,gbM,gbM,0,1,32,0.0153846153846154,0-1
Mdomestica,gbM-gbM,gbM,gbM,1,1,2048,0.984615384615385,1-1
