Species,Duplication,Similarity,Number,PhyloOrder
Mdomestica,dispersed,Different,287,31
Mdomestica,proximal,Different,322,31
Mdomestica,tandem,Different,332,31
Mdomestica,transposed,Different,763,31
Mdomestica,wgd,Different,1079,31
Mdomestica,dispersed,Same,735,31
Mdomestica,proximal,Same,825,31
Mdomestica,tandem,Same,1124,31
Mdomestica,transposed,Same,1141,31
Mdomestica,wgd,Same,5551,31
Mdomestica,dispersed,Undetermined,555,31
Mdomestica,proximal,Undetermined,613,31
Mdomestica,tandem,Undetermined,654,31
Mdomestica,transposed,Undetermined,1186,31
Mdomestica,wgd,Undetermined,4813,31
