Species,Duplication,Classification,Number,PhyloOrder
Sitalica,dispersed,gbM-gbM,658,8
Sitalica,proximal,gbM-gbM,55,8
Sitalica,tandem,gbM-gbM,85,8
Sitalica,transposed,gbM-gbM,335,8
Sitalica,wgd,gbM-gbM,563,8
Sitalica,dispersed,gbM-teM,111,8
Sitalica,proximal,gbM-teM,20,8
Sitalica,tandem,gbM-teM,29,8
Sitalica,transposed,gbM-teM,32,8
Sitalica,wgd,gbM-teM,12,8
Sitalica,dispersed,gbM-Unclassified,242,8
Sitalica,proximal,gbM-Unclassified,39,8
Sitalica,tandem,gbM-Unclassified,57,8
Sitalica,transposed,gbM-Unclassified,145,8
Sitalica,wgd,gbM-Unclassified,223,8
Sitalica,dispersed,gbM-unM,456,8
Sitalica,proximal,gbM-unM,109,8
Sitalica,tandem,gbM-unM,147,8
Sitalica,transposed,gbM-unM,294,8
Sitalica,wgd,gbM-unM,277,8
Sitalica,dispersed,teM-teM,426,8
Sitalica,proximal,teM-teM,68,8
Sitalica,tandem,teM-teM,82,8
Sitalica,transposed,teM-teM,229,8
Sitalica,wgd,teM-teM,24,8
Sitalica,dispersed,teM-Unclassified,67,8
Sitalica,proximal,teM-Unclassified,14,8
Sitalica,tandem,teM-Unclassified,32,8
Sitalica,transposed,teM-Unclassified,49,8
Sitalica,wgd,teM-Unclassified,10,8
Sitalica,dispersed,Unclassified-Unclassified,103,8
Sitalica,proximal,Unclassified-Unclassified,26,8
Sitalica,tandem,Unclassified-Unclassified,50,8
Sitalica,transposed,Unclassified-Unclassified,51,8
Sitalica,wgd,Unclassified-Unclassified,105,8
Sitalica,dispersed,unM-teM,227,8
Sitalica,proximal,unM-teM,59,8
Sitalica,tandem,unM-teM,114,8
Sitalica,transposed,unM-teM,97,8
Sitalica,wgd,unM-teM,33,8
Sitalica,dispersed,unM-Unclassified,282,8
Sitalica,proximal,unM-Unclassified,112,8
Sitalica,tandem,unM-Unclassified,203,8
Sitalica,transposed,unM-Unclassified,173,8
Sitalica,wgd,unM-Unclassified,208,8
Sitalica,dispersed,unM-unM,1204,8
Sitalica,proximal,unM-unM,555,8
Sitalica,tandem,unM-unM,1486,8
Sitalica,transposed,unM-unM,811,8
Sitalica,wgd,unM-unM,1080,8
