Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Zmays,gbM,0,gbM-gbM,1,0.000476190476190476
Zmays,gbM,1,gbM-gbM,2099,0.999523809523809
Zmays,gbM,0,gbM-teM,0,0
Zmays,teM,0,gbM-teM,0,0
Zmays,gbM,1,gbM-teM,665,1
Zmays,teM,1,gbM-teM,875,1
Zmays,gbM,0,gbM-unM,0,0
Zmays,unM,0,gbM-unM,2,0.00273972602739726
Zmays,gbM,1,gbM-unM,703,1
Zmays,unM,1,gbM-unM,728,0.997260273972603
Zmays,teM,0,teM-teM,2,0.000360555255092843
Zmays,teM,1,teM-teM,5545,0.999639444744907
Zmays,unM,0,unM-teM,2,0.00201005025125628
Zmays,teM,0,unM-teM,1,0.000866551126516464
Zmays,unM,1,unM-teM,993,0.997989949748744
Zmays,teM,1,unM-teM,1153,0.999133448873484
Zmays,unM,0,unM-unM,14,0.001279824481214
Zmays,unM,1,unM-unM,10925,0.998720175518786
