Species,Duplication,Classification,Number,PhyloOrder
Ptrichocarpa,dispersed,gbM-gbM,55,25
Ptrichocarpa,proximal,gbM-gbM,18,25
Ptrichocarpa,tandem,gbM-gbM,30,25
Ptrichocarpa,transposed,gbM-gbM,99,25
Ptrichocarpa,wgd,gbM-gbM,1345,25
Ptrichocarpa,dispersed,gbM-teM,13,25
Ptrichocarpa,proximal,gbM-teM,4,25
Ptrichocarpa,tandem,gbM-teM,6,25
Ptrichocarpa,transposed,gbM-teM,30,25
Ptrichocarpa,wgd,gbM-teM,45,25
Ptrichocarpa,dispersed,gbM-Unclassified,37,25
Ptrichocarpa,proximal,gbM-Unclassified,12,25
Ptrichocarpa,tandem,gbM-Unclassified,19,25
Ptrichocarpa,transposed,gbM-Unclassified,63,25
Ptrichocarpa,wgd,gbM-Unclassified,555,25
Ptrichocarpa,dispersed,gbM-unM,63,25
Ptrichocarpa,proximal,gbM-unM,45,25
Ptrichocarpa,tandem,gbM-unM,63,25
Ptrichocarpa,transposed,gbM-unM,196,25
Ptrichocarpa,wgd,gbM-unM,862,25
Ptrichocarpa,dispersed,teM-teM,390,25
Ptrichocarpa,proximal,teM-teM,83,25
Ptrichocarpa,tandem,teM-teM,55,25
Ptrichocarpa,transposed,teM-teM,179,25
Ptrichocarpa,wgd,teM-teM,40,25
Ptrichocarpa,dispersed,teM-Unclassified,20,25
Ptrichocarpa,proximal,teM-Unclassified,19,25
Ptrichocarpa,tandem,teM-Unclassified,5,25
Ptrichocarpa,transposed,teM-Unclassified,28,25
Ptrichocarpa,wgd,teM-Unclassified,17,25
Ptrichocarpa,dispersed,Unclassified-Unclassified,25,25
Ptrichocarpa,proximal,Unclassified-Unclassified,14,25
Ptrichocarpa,tandem,Unclassified-Unclassified,12,25
Ptrichocarpa,transposed,Unclassified-Unclassified,30,25
Ptrichocarpa,wgd,Unclassified-Unclassified,367,25
Ptrichocarpa,dispersed,unM-teM,94,25
Ptrichocarpa,proximal,unM-teM,89,25
Ptrichocarpa,tandem,unM-teM,87,25
Ptrichocarpa,transposed,unM-teM,135,25
Ptrichocarpa,wgd,unM-teM,136,25
Ptrichocarpa,dispersed,unM-Unclassified,83,25
Ptrichocarpa,proximal,unM-Unclassified,108,25
Ptrichocarpa,tandem,unM-Unclassified,95,25
Ptrichocarpa,transposed,unM-Unclassified,163,25
Ptrichocarpa,wgd,unM-Unclassified,840,25
Ptrichocarpa,dispersed,unM-unM,534,25
Ptrichocarpa,proximal,unM-unM,912,25
Ptrichocarpa,tandem,unM-unM,1564,25
Ptrichocarpa,transposed,unM-unM,1154,25
Ptrichocarpa,wgd,unM-unM,5807,25
