Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Ptrichocarpa,gbM,0,gbM-gbM,119,0.039906103286385
Ptrichocarpa,gbM,1,gbM-gbM,2863,0.960093896713615
Ptrichocarpa,gbM,0,gbM-teM,2,0.0232558139534884
Ptrichocarpa,teM,0,gbM-teM,1,0.0103092783505155
Ptrichocarpa,gbM,1,gbM-teM,84,0.976744186046512
Ptrichocarpa,teM,1,gbM-teM,96,0.989690721649485
Ptrichocarpa,gbM,0,gbM-unM,70,0.0595744680851064
Ptrichocarpa,unM,0,gbM-unM,84,0.0695940347970174
Ptrichocarpa,gbM,1,gbM-unM,1105,0.940425531914894
Ptrichocarpa,unM,1,gbM-unM,1123,0.930405965202983
Ptrichocarpa,teM,0,teM-teM,14,0.0126239855725879
Ptrichocarpa,teM,1,teM-teM,1095,0.987376014427412
Ptrichocarpa,unM,0,unM-teM,22,0.0466101694915254
Ptrichocarpa,teM,0,unM-teM,6,0.0123711340206186
Ptrichocarpa,unM,1,unM-teM,450,0.953389830508475
Ptrichocarpa,teM,1,unM-teM,479,0.987628865979381
Ptrichocarpa,unM,0,unM-unM,998,0.0546041472889424
Ptrichocarpa,unM,1,unM-unM,17279,0.945395852711058
