Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Ptrichocarpa,unM-unM,unM,unM,0,0,86,0.00894901144640999,0-0
Ptrichocarpa,unM-unM,unM,unM,1,0,0,0,1-0
Ptrichocarpa,unM-unM,unM,unM,0,1,891,0.0927159209157128,0-1
Ptrichocarpa,unM-unM,unM,unM,1,1,8633,0.898335067637877,1-1
Ptrichocarpa,gbM-unM,gbM,unM,0,0,7,0.00582362728785358,0-0
Ptrichocarpa,gbM-unM,gbM,unM,1,0,73,0.0607321131447587,1-0
Ptrichocarpa,gbM-unM,gbM,unM,0,1,61,0.0507487520798669,0-1
Ptrichocarpa,gbM-unM,gbM,unM,1,1,1061,0.882695507487521,1-1
Ptrichocarpa,gbM-teM,gbM,teM,0,0,0,0,0-0
Ptrichocarpa,gbM-teM,gbM,teM,1,0,1,0.0106382978723404,1-0
Ptrichocarpa,gbM-teM,gbM,teM,0,1,2,0.0212765957446809,0-1
Ptrichocarpa,gbM-teM,gbM,teM,1,1,91,0.968085106382979,1-1
Ptrichocarpa,teM-teM,teM,teM,0,0,0,0,0-0
Ptrichocarpa,teM-teM,teM,teM,1,0,0,0,1-0
Ptrichocarpa,teM-teM,teM,teM,0,1,26,0.0358126721763085,0-1
Ptrichocarpa,teM-teM,teM,teM,1,1,700,0.964187327823691,1-1
Ptrichocarpa,gbM-gbM,gbM,gbM,0,0,6,0.00393700787401575,0-0
Ptrichocarpa,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Ptrichocarpa,gbM-gbM,gbM,gbM,0,1,109,0.0715223097112861,0-1
Ptrichocarpa,gbM-gbM,gbM,gbM,1,1,1409,0.924540682414698,1-1
Ptrichocarpa,unM-teM,unM,teM,0,0,1,0.00201207243460765,0-0
Ptrichocarpa,unM-teM,unM,teM,1,0,6,0.0120724346076459,1-0
Ptrichocarpa,unM-teM,unM,teM,0,1,36,0.0724346076458753,0-1
Ptrichocarpa,unM-teM,unM,teM,1,1,454,0.913480885311871,1-1
