Species,Duplication,Classification,Number,PhyloOrder
Phallii,dispersed,gbM-gbM,465,11
Phallii,proximal,gbM-gbM,44,11
Phallii,tandem,gbM-gbM,89,11
Phallii,transposed,gbM-gbM,244,11
Phallii,wgd,gbM-gbM,487,11
Phallii,dispersed,gbM-teM,48,11
Phallii,proximal,gbM-teM,16,11
Phallii,tandem,gbM-teM,14,11
Phallii,transposed,gbM-teM,58,11
Phallii,wgd,gbM-teM,18,11
Phallii,dispersed,gbM-Unclassified,271,11
Phallii,proximal,gbM-Unclassified,24,11
Phallii,tandem,gbM-Unclassified,44,11
Phallii,transposed,gbM-Unclassified,147,11
Phallii,wgd,gbM-Unclassified,252,11
Phallii,dispersed,gbM-unM,291,11
Phallii,proximal,gbM-unM,75,11
Phallii,tandem,gbM-unM,120,11
Phallii,transposed,gbM-unM,228,11
Phallii,wgd,gbM-unM,202,11
Phallii,dispersed,teM-teM,133,11
Phallii,proximal,teM-teM,48,11
Phallii,tandem,teM-teM,41,11
Phallii,transposed,teM-teM,259,11
Phallii,wgd,teM-teM,258,11
Phallii,dispersed,teM-Unclassified,31,11
Phallii,proximal,teM-Unclassified,16,11
Phallii,tandem,teM-Unclassified,12,11
Phallii,transposed,teM-Unclassified,49,11
Phallii,wgd,teM-Unclassified,46,11
Phallii,dispersed,Unclassified-Unclassified,154,11
Phallii,proximal,Unclassified-Unclassified,39,11
Phallii,tandem,Unclassified-Unclassified,37,11
Phallii,transposed,Unclassified-Unclassified,73,11
Phallii,wgd,Unclassified-Unclassified,204,11
Phallii,dispersed,unM-teM,87,11
Phallii,proximal,unM-teM,24,11
Phallii,tandem,unM-teM,25,11
Phallii,transposed,unM-teM,33,11
Phallii,wgd,unM-teM,24,11
Phallii,dispersed,unM-Unclassified,278,11
Phallii,proximal,unM-Unclassified,83,11
Phallii,tandem,unM-Unclassified,140,11
Phallii,transposed,unM-Unclassified,201,11
Phallii,wgd,unM-Unclassified,275,11
Phallii,dispersed,unM-unM,1125,11
Phallii,proximal,unM-unM,488,11
Phallii,tandem,unM-unM,1301,11
Phallii,transposed,unM-unM,870,11
Phallii,wgd,unM-unM,1250,11
