Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Phallii,gbM,0,gbM-gbM,330,0.133982947624848
Phallii,gbM,1,gbM-gbM,2133,0.866017052375152
Phallii,gbM,0,gbM-teM,10,0.075187969924812
Phallii,teM,0,gbM-teM,7,0.0542635658914729
Phallii,gbM,1,gbM-teM,123,0.924812030075188
Phallii,teM,1,gbM-teM,122,0.945736434108527
Phallii,gbM,0,gbM-unM,138,0.168704156479218
Phallii,unM,0,gbM-unM,137,0.158748551564311
Phallii,gbM,1,gbM-unM,680,0.831295843520782
Phallii,unM,1,gbM-unM,726,0.841251448435689
Phallii,teM,0,teM-teM,38,0.0336581045172719
Phallii,teM,1,teM-teM,1091,0.966341895482728
Phallii,unM,0,unM-teM,19,0.103825136612022
Phallii,teM,0,unM-teM,3,0.0173410404624277
Phallii,unM,1,unM-teM,164,0.896174863387978
Phallii,teM,1,unM-teM,170,0.982658959537572
Phallii,unM,0,unM-unM,1092,0.123111612175874
Phallii,unM,1,unM-unM,7778,0.876888387824126
