Species,Duplication,Similarity,Number,PhyloOrder
Phallii,dispersed,Different,430,11
Phallii,proximal,Different,115,11
Phallii,tandem,Different,159,11
Phallii,transposed,Different,319,11
Phallii,wgd,Different,244,11
Phallii,dispersed,Same,1715,11
Phallii,proximal,Same,581,11
Phallii,tandem,Same,1432,11
Phallii,transposed,Same,1374,11
Phallii,wgd,Same,1995,11
Phallii,dispersed,Undetermined,736,11
Phallii,proximal,Undetermined,161,11
Phallii,tandem,Undetermined,233,11
Phallii,transposed,Undetermined,470,11
Phallii,wgd,Undetermined,777,11
