,Acoerulea,Aduranensis,Aipaensis,Alyrata,Aofficinalis,Athaliana,Atrichopoda,Bdistachyon,Boleracea,Brapa,Bvulgaris,Cannuum,Cclementina,Clanatus,Cmelo,Cpapaya,Crubella,Csativus,Cviolacea,Egrandis,Eguineensis,Esalsugineum,Fvesca,Fxananassa,Gmax,Graimondii,Gsoja,Ljaponicus,Macuminata,Mdomestica,Mesculenta,Mguttatus,Mtruncatula,Nattenuata,Nnucifera,Osativa,Othomaeum,Paxillaris,Phallii,Ppersica,Ptrichocarpa,Pvirgatum,Pvulgaris,Pxbretschneideri,Rchinensis,Roccidentalis,Sbicolor,Sitalica,Slycopersicum,Smelongena,Spolyrhiza,Stuberosum,Sviridis,Tcacao,Vcorymbosum,Vvinifera,Zjujuba,Zmays,Total
OG0008292,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,3,1,1,1,3,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,77
OG0008293,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4,3,1,3,1,2,2,3,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,3,1,1,1,0,3,1,4,1,1,1,77
OG0008294,4,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,4,2,1,2,1,1,2,1,1,1,1,1,1,1,1,4,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,4,1,1,1,77
OG0008295,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,4,1,2,2,77
OG0008297,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1,0,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,2,1,1,3,1,2,1,77
OG0008298,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,3,2,1,3,1,1,1,1,1,1,2,1,1,2,4,1,1,2,77
OG0008299,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,6,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,77
OG0008300,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,5,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,77
OG0008302,1,0,1,1,2,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,2,1,1,4,2,1,2,2,2,1,2,1,1,2,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,77
OG0008303,1,2,1,2,1,1,1,1,2,2,1,0,2,1,1,3,1,1,1,2,1,1,1,4,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,77
OG0008304,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,1,1,1,2,1,2,2,8,2,1,2,0,1,2,1,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,1,77
OG0008305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,4,1,2,1,1,1,2,1,1,1,1,2,1,4,1,1,6,77
OG0008306,1,1,1,1,1,1,3,1,1,3,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,77
OG0008307,1,2,1,1,1,1,1,1,2,1,1,0,2,1,1,2,1,1,1,1,1,2,1,5,3,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,0,1,1,4,1,1,1,77
OG0008308,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,4,3,3,3,1,2,4,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,77
OG0008309,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,4,2,1,3,1,2,1,1,1,1,1,1,1,1,4,1,1,2,77
OG0008310,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,77
OG0008311,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,3,2,1,3,1,1,1,0,1,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,1,8,1,1,1,77
OG0008313,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,77
OG0008315,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,3,1,2,1,1,1,1,2,1,1,2,2,1,2,3,1,1,1,1,1,1,1,1,1,7,1,1,1,77
OG0008318,3,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2,1,2,1,3,2,1,1,1,1,2,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,2,1,4,1,1,1,77
OG0008320,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,2,1,2,3,1,1,1,1,0,1,1,1,1,3,2,6,2,77
OG0008322,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,3,2,1,0,1,1,1,1,2,2,1,3,1,1,4,1,2,1,77
OG0008323,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,0,1,2,2,1,1,2,1,1,1,2,1,1,1,2,1,3,1,1,1,1,2,2,1,3,1,1,4,1,1,1,77
OG0008324,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,6,3,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,4,1,2,2,77
OG0008326,1,1,1,1,2,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,4,2,2,1,77
OG0008328,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,2,2,2,3,1,2,1,1,1,2,1,1,0,1,1,1,1,2,1,2,4,1,1,1,1,1,3,1,1,1,2,1,1,2,77
OG0008329,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,6,1,2,1,77
OG0008330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,2,1,2,2,1,1,1,1,2,2,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,77
OG0008331,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,4,2,1,2,1,2,2,1,3,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,0,1,1,3,1,1,2,77
OG0008333,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,2,1,4,2,1,2,3,2,2,1,1,1,2,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,77
OG0008335,1,2,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,2,1,4,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,3,1,77
OG0008336,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,6,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,77
OG0008337,1,0,0,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,1,1,1,1,1,3,1,2,1,77
OG0008338,1,1,1,1,2,1,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,7,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,1,1,1,3,1,1,1,1,2,1,2,2,77
OG0008339,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,3,2,1,0,2,2,1,2,1,1,7,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,0,1,1,1,1,1,2,1,1,2,1,1,2,77
OG0008340,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,6,1,1,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,2,0,1,1,1,77
OG0008342,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,1,1,4,1,2,1,77
OG0008344,1,3,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,0,1,2,1,2,1,1,2,5,1,1,1,1,1,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,1,1,4,1,2,1,77
OG0008346,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,6,3,1,2,1,1,2,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,77
OG0008347,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,2,2,0,1,1,5,1,2,1,77
OG0008348,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,2,1,1,4,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,4,1,3,1,77
OG0008349,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,2,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,77
OG0008350,1,1,2,1,2,1,1,1,1,1,1,3,1,1,2,3,1,1,1,1,0,1,1,4,2,1,2,1,4,2,1,1,1,2,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,1,1,2,1,1,3,77
OG0008351,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,1,1,3,1,1,1,3,4,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,77
OG0008352,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,1,1,2,3,1,3,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,77
OG0008353,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,7,3,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,77
OG0008354,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,2,1,1,3,1,3,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,3,1,2,1,77
OG0008355,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,3,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,3,1,4,1,1,1,77
OG0008357,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,77
OG0008358,1,2,3,1,1,1,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,4,1,1,2,77
OG0008359,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,4,1,2,1,77
OG0008360,1,1,1,1,0,1,1,1,2,2,1,0,1,1,1,1,1,1,1,1,2,1,1,3,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,77
OG0008361,1,1,0,2,0,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,6,2,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,77
OG0008362,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,6,1,77
OG0008363,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,3,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,4,2,2,2,77
OG0008364,1,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,2,1,1,1,1,1,1,3,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,4,3,1,2,2,1,1,1,1,1,1,0,1,1,4,1,1,1,77
OG0008367,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,1,2,1,1,4,2,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,3,3,1,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,77
OG0008368,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,4,2,1,2,1,4,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,4,1,1,1,77
OG0008371,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,3,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,2,1,1,4,1,1,2,77
OG0008372,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,77
OG0008375,1,1,6,1,1,1,1,1,1,1,1,2,1,1,3,2,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,77
OG0008376,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,3,1,1,2,2,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,4,1,77
OG0008377,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,6,1,1,1,1,3,1,0,1,1,3,1,2,1,77
OG0008378,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,77
OG0008379,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,3,3,2,3,3,1,2,1,1,2,1,1,1,1,1,1,1,1,2,3,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,77
OG0008380,1,2,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,77
OG0008381,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,2,1,1,5,1,1,1,1,1,1,1,2,2,1,2,3,1,1,1,1,1,1,1,1,1,4,1,1,1,77
OG0008382,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,6,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,3,2,1,2,77
OG0008383,1,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,2,1,3,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,1,0,1,1,4,1,1,1,77
OG0008384,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,4,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,2,77
OG0008385,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,2,2,4,1,1,1,1,2,2,1,1,2,1,2,1,3,1,1,1,77
OG0008386,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,4,2,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,77
OG0008389,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,1,2,1,1,7,1,1,1,77
OG0008391,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,4,1,2,3,77
OG0008392,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,3,1,2,1,1,4,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,3,1,1,1,2,2,1,2,1,1,1,1,1,1,77
OG0008393,1,1,1,1,3,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,2,1,1,6,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,77
OG0008395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,8,1,1,1,77
OG0008396,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,2,3,1,1,1,1,0,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,0,1,1,8,1,1,2,77
OG0008397,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,1,1,4,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,77
OG0008398,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,7,1,1,1,77
OG0008399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2,2,2,1,3,2,2,1,1,1,2,1,0,4,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,77
OG0008400,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,4,2,1,2,1,1,2,2,1,1,1,2,1,1,3,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,3,1,1,77
OG0008403,1,1,1,2,1,2,1,1,3,3,1,1,1,1,1,1,2,1,2,1,1,2,0,3,2,3,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,4,1,1,1,77
OG0008404,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,4,2,1,2,2,1,3,1,1,1,1,1,1,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,0,1,1,4,1,1,2,77
OG0008405,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,6,3,1,1,77
OG0008406,1,2,2,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,0,3,0,1,1,2,1,1,1,1,1,1,1,2,2,1,0,1,1,1,1,1,6,1,1,1,1,4,1,1,1,77
OG0008409,0,1,2,1,1,1,0,1,1,1,1,2,1,2,1,0,1,1,1,1,1,1,1,4,1,1,1,2,1,2,1,1,3,1,1,1,1,2,1,1,3,2,1,1,1,1,2,1,1,1,2,1,1,1,5,1,3,1,77
OG0008412,0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,7,3,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,4,1,2,1,1,1,1,1,1,1,1,1,1,6,1,1,1,77
OG0008420,2,3,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,5,2,1,2,3,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0,1,0,1,1,1,1,1,1,1,1,5,3,1,1,76
OG0008421,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,6,2,1,2,2,1,1,1,0,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,4,0,1,1,76
OG0008422,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,2,1,3,76
OG0008423,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,3,1,1,1,4,2,1,1,4,2,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,76
OG0008424,1,1,2,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,3,1,2,1,1,1,1,1,1,1,1,3,1,1,1,76
OG0008425,2,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,4,3,2,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,0,1,1,1,4,2,1,1,76
OG0008426,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,76
OG0008427,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,0,1,1,5,2,1,2,1,1,6,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1,1,1,1,0,1,1,1,1,4,1,1,1,76
OG0008429,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,4,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,2,1,76
OG0008430,1,3,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,0,1,1,1,1,4,1,1,1,76
OG0008431,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,6,1,76
OG0008432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,3,2,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,76
OG0008433,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,3,1,1,1,2,1,1,0,1,1,1,1,2,2,4,2,1,1,1,1,1,2,1,1,1,3,1,1,1,76
OG0008434,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,4,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,2,1,76
OG0008436,1,1,1,1,3,1,1,1,1,2,1,0,1,0,1,1,1,1,1,1,2,1,1,3,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,7,1,1,1,76
OG0008438,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,76
OG0008439,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,6,2,1,2,1,3,2,1,1,1,2,1,1,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,76
OG0008440,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,4,1,1,3,1,1,1,1,1,2,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,76
OG0008441,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,4,2,2,2,1,1,3,1,1,1,1,1,1,2,1,1,1,3,2,1,1,1,1,2,1,1,1,1,0,1,1,2,1,1,2,76
OG0008442,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,3,1,1,1,1,1,1,1,1,5,1,1,1,76
