Species,Duplication,Similarity,Number,PhyloOrder
Crubella,dispersed,Different,449,18
Crubella,proximal,Different,105,18
Crubella,tandem,Different,262,18
Crubella,transposed,Different,429,18
Crubella,wgd,Different,418,18
Crubella,dispersed,Same,1344,18
Crubella,proximal,Same,407,18
Crubella,tandem,Same,1400,18
Crubella,transposed,Same,1223,18
Crubella,wgd,Same,2206,18
Crubella,dispersed,Undetermined,568,18
Crubella,proximal,Undetermined,137,18
Crubella,tandem,Undetermined,443,18
Crubella,transposed,Undetermined,483,18
Crubella,wgd,Undetermined,978,18
