Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Cclementina,gbM,0,gbM-gbM,223,0.118302387267905
Cclementina,gbM,1,gbM-gbM,1662,0.881697612732095
Cclementina,gbM,0,gbM-teM,6,0.0909090909090909
Cclementina,teM,0,gbM-teM,2,0.0240963855421687
Cclementina,gbM,1,gbM-teM,60,0.909090909090909
Cclementina,teM,1,gbM-teM,81,0.975903614457831
Cclementina,gbM,0,gbM-unM,79,0.128038897893031
Cclementina,unM,0,gbM-unM,75,0.115562403697997
Cclementina,gbM,1,gbM-unM,538,0.871961102106969
Cclementina,unM,1,gbM-unM,574,0.884437596302003
Cclementina,teM,0,teM-teM,10,0.01953125
Cclementina,teM,1,teM-teM,502,0.98046875
Cclementina,unM,0,unM-teM,30,0.0775193798449612
Cclementina,teM,0,unM-teM,10,0.0257731958762887
Cclementina,unM,1,unM-teM,357,0.922480620155039
Cclementina,teM,1,unM-teM,378,0.974226804123711
Cclementina,unM,0,unM-unM,468,0.0836012861736334
Cclementina,unM,1,unM-unM,5130,0.916398713826367
