Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Cclementina,gbM-unM,gbM,unM,0,0,11,0.0181219110378913,0-0
Cclementina,gbM-unM,gbM,unM,1,0,61,0.100494233937397,1-0
Cclementina,gbM-unM,gbM,unM,0,1,64,0.105436573311367,0-1
Cclementina,gbM-unM,gbM,unM,1,1,471,0.775947281713344,1-1
Cclementina,gbM-gbM,gbM,gbM,0,0,17,0.0187018701870187,0-0
Cclementina,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Cclementina,gbM-gbM,gbM,gbM,0,1,186,0.204620462046205,0-1
Cclementina,gbM-gbM,gbM,gbM,1,1,706,0.776677667766777,1-1
Cclementina,unM-unM,unM,unM,0,0,52,0.0177595628415301,0-0
Cclementina,unM-unM,unM,unM,1,0,0,0,1-0
Cclementina,unM-unM,unM,unM,0,1,380,0.129781420765027,0-1
Cclementina,unM-unM,unM,unM,1,1,2496,0.852459016393443,1-1
Cclementina,teM-teM,teM,teM,0,0,2,0.00617283950617284,0-0
Cclementina,teM-teM,teM,teM,1,0,0,0,1-0
Cclementina,teM-teM,teM,teM,0,1,10,0.0308641975308642,0-1
Cclementina,teM-teM,teM,teM,1,1,312,0.962962962962963,1-1
Cclementina,unM-teM,unM,teM,0,0,3,0.0075,0-0
Cclementina,unM-teM,unM,teM,1,0,7,0.0175,1-0
Cclementina,unM-teM,unM,teM,0,1,27,0.0675,0-1
Cclementina,unM-teM,unM,teM,1,1,363,0.9075,1-1
Cclementina,gbM-teM,gbM,teM,0,0,1,0.0140845070422535,0-0
Cclementina,gbM-teM,gbM,teM,1,0,1,0.0140845070422535,1-0
Cclementina,gbM-teM,gbM,teM,0,1,5,0.0704225352112676,0-1
Cclementina,gbM-teM,gbM,teM,1,1,64,0.901408450704225,1-1
