Species,Duplication,Similarity,Number,PhyloOrder
Csativus,dispersed,Different,422,28
Csativus,proximal,Different,90,28
Csativus,tandem,Different,216,28
Csativus,transposed,Different,228,28
Csativus,wgd,Different,269,28
Csativus,dispersed,Same,974,28
Csativus,proximal,Same,208,28
Csativus,tandem,Same,608,28
Csativus,transposed,Same,487,28
Csativus,wgd,Same,710,28
Csativus,dispersed,Undetermined,458,28
Csativus,proximal,Undetermined,109,28
Csativus,tandem,Undetermined,279,28
Csativus,transposed,Undetermined,229,28
Csativus,wgd,Undetermined,338,28
