Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Ljaponicus,gbM-teM,gbM,teM,0,0,0,0,0-0
Ljaponicus,gbM-teM,gbM,teM,1,0,1,0.00354609929078014,1-0
Ljaponicus,gbM-teM,gbM,teM,0,1,1,0.00354609929078014,0-1
Ljaponicus,gbM-teM,gbM,teM,1,1,280,0.99290780141844,1-1
Ljaponicus,unM-unM,unM,unM,0,0,0,0,0-0
Ljaponicus,unM-unM,unM,unM,1,0,0,0,1-0
Ljaponicus,unM-unM,unM,unM,0,1,23,0.0125136017410229,0-1
Ljaponicus,unM-unM,unM,unM,1,1,1815,0.987486398258977,1-1
Ljaponicus,gbM-unM,gbM,unM,0,0,0,0,0-0
Ljaponicus,gbM-unM,gbM,unM,1,0,8,0.010062893081761,1-0
Ljaponicus,gbM-unM,gbM,unM,0,1,4,0.0050314465408805,0-1
Ljaponicus,gbM-unM,gbM,unM,1,1,783,0.984905660377358,1-1
Ljaponicus,unM-teM,unM,teM,0,0,0,0,0-0
Ljaponicus,unM-teM,unM,teM,1,0,5,0.00859106529209622,1-0
Ljaponicus,unM-teM,unM,teM,0,1,5,0.00859106529209622,0-1
Ljaponicus,unM-teM,unM,teM,1,1,572,0.982817869415808,1-1
Ljaponicus,teM-teM,teM,teM,0,0,3,0.00258843830888697,0-0
Ljaponicus,teM-teM,teM,teM,1,0,0,0,1-0
Ljaponicus,teM-teM,teM,teM,0,1,29,0.0250215703192407,0-1
Ljaponicus,teM-teM,teM,teM,1,1,1127,0.972389991371872,1-1
Ljaponicus,gbM-gbM,gbM,gbM,0,0,2,0.00130039011703511,0-0
Ljaponicus,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Ljaponicus,gbM-gbM,gbM,gbM,0,1,26,0.0169050715214564,0-1
Ljaponicus,gbM-gbM,gbM,gbM,1,1,1510,0.981794538361508,1-1
