Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Ljaponicus,gbM,0,gbM-gbM,29,0.00913098236775819
Ljaponicus,gbM,1,gbM-gbM,3147,0.990869017632242
Ljaponicus,gbM,0,gbM-teM,1,0.00387596899224806
Ljaponicus,teM,0,gbM-teM,1,0.0034965034965035
Ljaponicus,gbM,1,gbM-teM,257,0.996124031007752
Ljaponicus,teM,1,gbM-teM,285,0.996503496503496
Ljaponicus,gbM,0,gbM-unM,3,0.00379746835443038
Ljaponicus,unM,0,gbM-unM,7,0.00833333333333333
Ljaponicus,gbM,1,gbM-unM,787,0.99620253164557
Ljaponicus,unM,1,gbM-unM,833,0.991666666666667
Ljaponicus,teM,0,teM-teM,28,0.014957264957265
Ljaponicus,teM,1,teM-teM,1844,0.985042735042735
Ljaponicus,unM,0,unM-teM,5,0.00905797101449275
Ljaponicus,teM,0,unM-teM,6,0.0104712041884817
Ljaponicus,unM,1,unM-teM,547,0.990942028985507
Ljaponicus,teM,1,unM-teM,567,0.989528795811518
Ljaponicus,unM,0,unM-unM,25,0.0070402703463813
Ljaponicus,unM,1,unM-unM,3526,0.992959729653619
