Species,Duplication,Classification,Number,PhyloOrder
Vvinifera,dispersed,gbM-gbM,364,12
Vvinifera,proximal,gbM-gbM,72,12
Vvinifera,tandem,gbM-gbM,103,12
Vvinifera,transposed,gbM-gbM,229,12
Vvinifera,wgd,gbM-gbM,460,12
Vvinifera,dispersed,gbM-teM,128,12
Vvinifera,proximal,gbM-teM,44,12
Vvinifera,tandem,gbM-teM,30,12
Vvinifera,transposed,gbM-teM,163,12
Vvinifera,wgd,gbM-teM,17,12
Vvinifera,dispersed,gbM-Unclassified,132,12
Vvinifera,proximal,gbM-Unclassified,48,12
Vvinifera,tandem,gbM-Unclassified,55,12
Vvinifera,transposed,gbM-Unclassified,109,12
Vvinifera,wgd,gbM-Unclassified,101,12
Vvinifera,dispersed,gbM-unM,274,12
Vvinifera,proximal,gbM-unM,135,12
Vvinifera,tandem,gbM-unM,223,12
Vvinifera,transposed,gbM-unM,224,12
Vvinifera,wgd,gbM-unM,229,12
Vvinifera,dispersed,teM-teM,217,12
Vvinifera,proximal,teM-teM,76,12
Vvinifera,tandem,teM-teM,92,12
Vvinifera,transposed,teM-teM,50,12
Vvinifera,wgd,teM-teM,7,12
Vvinifera,dispersed,teM-Unclassified,107,12
Vvinifera,proximal,teM-Unclassified,56,12
Vvinifera,tandem,teM-Unclassified,44,12
Vvinifera,transposed,teM-Unclassified,62,12
Vvinifera,wgd,teM-Unclassified,13,12
Vvinifera,dispersed,Unclassified-Unclassified,75,12
Vvinifera,proximal,Unclassified-Unclassified,28,12
Vvinifera,tandem,Unclassified-Unclassified,25,12
Vvinifera,transposed,Unclassified-Unclassified,30,12
Vvinifera,wgd,Unclassified-Unclassified,69,12
Vvinifera,dispersed,unM-teM,148,12
Vvinifera,proximal,unM-teM,124,12
Vvinifera,tandem,unM-teM,181,12
Vvinifera,transposed,unM-teM,117,12
Vvinifera,wgd,unM-teM,34,12
Vvinifera,dispersed,unM-Unclassified,155,12
Vvinifera,proximal,unM-Unclassified,117,12
Vvinifera,tandem,unM-Unclassified,122,12
Vvinifera,transposed,unM-Unclassified,88,12
Vvinifera,wgd,unM-Unclassified,128,12
Vvinifera,dispersed,unM-unM,437,12
Vvinifera,proximal,unM-unM,485,12
Vvinifera,tandem,unM-unM,1192,12
Vvinifera,transposed,unM-unM,409,12
Vvinifera,wgd,unM-unM,720,12
