Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Vvinifera,gbM-teM,gbM,teM,0,0,2,0.0072202166064982,0-0
Vvinifera,gbM-teM,gbM,teM,1,0,6,0.0216606498194946,1-0
Vvinifera,gbM-teM,gbM,teM,0,1,27,0.0974729241877256,0-1
Vvinifera,gbM-teM,gbM,teM,1,1,242,0.873646209386282,1-1
Vvinifera,gbM-gbM,gbM,gbM,0,0,13,0.0125361620057859,0-0
Vvinifera,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Vvinifera,gbM-gbM,gbM,gbM,0,1,155,0.14946962391514,0-1
Vvinifera,gbM-gbM,gbM,gbM,1,1,869,0.837994214079074,1-1
Vvinifera,unM-unM,unM,unM,0,0,82,0.0288935870331219,0-0
Vvinifera,unM-unM,unM,unM,1,0,0,0,1-0
Vvinifera,unM-unM,unM,unM,0,1,479,0.168780831571529,0-1
Vvinifera,unM-unM,unM,unM,1,1,2277,0.802325581395349,1-1
Vvinifera,unM-teM,unM,teM,0,0,1,0.0019047619047619,0-0
Vvinifera,unM-teM,unM,teM,1,0,9,0.0171428571428571,1-0
Vvinifera,unM-teM,unM,teM,0,1,26,0.0495238095238095,0-1
Vvinifera,unM-teM,unM,teM,1,1,489,0.931428571428571,1-1
Vvinifera,teM-teM,teM,teM,0,0,5,0.0123762376237624,0-0
Vvinifera,teM-teM,teM,teM,1,0,0,0,1-0
Vvinifera,teM-teM,teM,teM,0,1,32,0.0792079207920792,0-1
Vvinifera,teM-teM,teM,teM,1,1,367,0.908415841584158,1-1
Vvinifera,gbM-unM,gbM,unM,0,0,29,0.0320088300220751,0-0
Vvinifera,gbM-unM,gbM,unM,1,0,82,0.0905077262693157,1-0
Vvinifera,gbM-unM,gbM,unM,0,1,83,0.0916114790286976,0-1
Vvinifera,gbM-unM,gbM,unM,1,1,712,0.785871964679912,1-1
