Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Vvinifera,gbM,0,gbM-gbM,191,0.0870953032375741
Vvinifera,gbM,1,gbM-gbM,2002,0.912904696762426
Vvinifera,gbM,0,gbM-teM,28,0.101449275362319
Vvinifera,teM,0,gbM-teM,12,0.0334261838440111
Vvinifera,gbM,1,gbM-teM,248,0.898550724637681
Vvinifera,teM,1,gbM-teM,347,0.966573816155989
Vvinifera,gbM,0,gbM-unM,112,0.122672508214677
Vvinifera,unM,0,gbM-unM,117,0.117943548387097
Vvinifera,gbM,1,gbM-unM,801,0.877327491785323
Vvinifera,unM,1,gbM-unM,875,0.882056451612903
Vvinifera,teM,0,teM-teM,42,0.0544747081712062
Vvinifera,teM,1,teM-teM,729,0.945525291828794
Vvinifera,unM,0,unM-teM,27,0.0524271844660194
Vvinifera,teM,0,unM-teM,11,0.0198198198198198
Vvinifera,unM,1,unM-teM,488,0.947572815533981
Vvinifera,teM,1,unM-teM,544,0.98018018018018
Vvinifera,unM,0,unM-unM,619,0.110951783473741
Vvinifera,unM,1,unM-unM,4960,0.889048216526259
