Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Sviridis,gbM,0,gbM-gbM,192,0.0766161213088587
Sviridis,gbM,1,gbM-gbM,2314,0.923383878691141
Sviridis,gbM,0,gbM-teM,9,0.0638297872340425
Sviridis,teM,0,gbM-teM,6,0.0425531914893617
Sviridis,gbM,1,gbM-teM,132,0.936170212765957
Sviridis,teM,1,gbM-teM,135,0.957446808510638
Sviridis,gbM,0,gbM-unM,81,0.0885245901639344
Sviridis,unM,0,gbM-unM,95,0.0945273631840796
Sviridis,gbM,1,gbM-unM,834,0.911475409836066
Sviridis,unM,1,gbM-unM,910,0.90547263681592
Sviridis,teM,0,teM-teM,55,0.0345694531741043
Sviridis,teM,1,teM-teM,1536,0.965430546825896
Sviridis,unM,0,unM-teM,30,0.0625
Sviridis,teM,0,unM-teM,9,0.0199556541019956
Sviridis,unM,1,unM-teM,450,0.9375
Sviridis,teM,1,unM-teM,442,0.980044345898004
Sviridis,unM,0,unM-unM,610,0.0601459278248866
Sviridis,unM,1,unM-unM,9532,0.939854072175113
