Species,Duplication,Classification,Number,PhyloOrder
Sviridis,dispersed,gbM-gbM,521,9
Sviridis,proximal,gbM-gbM,53,9
Sviridis,tandem,gbM-gbM,54,9
Sviridis,transposed,gbM-gbM,301,9
Sviridis,wgd,gbM-gbM,436,9
Sviridis,dispersed,gbM-teM,75,9
Sviridis,proximal,gbM-teM,15,9
Sviridis,tandem,gbM-teM,25,9
Sviridis,transposed,gbM-teM,30,9
Sviridis,wgd,gbM-teM,11,9
Sviridis,dispersed,gbM-Unclassified,292,9
Sviridis,proximal,gbM-Unclassified,48,9
Sviridis,tandem,gbM-Unclassified,59,9
Sviridis,transposed,gbM-Unclassified,171,9
Sviridis,wgd,gbM-Unclassified,255,9
Sviridis,dispersed,gbM-unM,401,9
Sviridis,proximal,gbM-unM,101,9
Sviridis,tandem,gbM-unM,113,9
Sviridis,transposed,gbM-unM,261,9
Sviridis,wgd,gbM-unM,194,9
Sviridis,dispersed,teM-teM,871,9
Sviridis,proximal,teM-teM,60,9
Sviridis,tandem,teM-teM,51,9
Sviridis,transposed,teM-teM,151,9
Sviridis,wgd,teM-teM,6,9
Sviridis,dispersed,teM-Unclassified,153,9
Sviridis,proximal,teM-Unclassified,19,9
Sviridis,tandem,teM-Unclassified,23,9
Sviridis,transposed,teM-Unclassified,25,9
Sviridis,wgd,teM-Unclassified,5,9
Sviridis,dispersed,Unclassified-Unclassified,220,9
Sviridis,proximal,Unclassified-Unclassified,31,9
Sviridis,tandem,Unclassified-Unclassified,44,9
Sviridis,transposed,Unclassified-Unclassified,88,9
Sviridis,wgd,Unclassified-Unclassified,220,9
Sviridis,dispersed,unM-teM,252,9
Sviridis,proximal,unM-teM,47,9
Sviridis,tandem,unM-teM,85,9
Sviridis,transposed,unM-teM,107,9
Sviridis,wgd,unM-teM,27,9
Sviridis,dispersed,unM-Unclassified,396,9
Sviridis,proximal,unM-Unclassified,151,9
Sviridis,tandem,unM-Unclassified,209,9
Sviridis,transposed,unM-Unclassified,254,9
Sviridis,wgd,unM-Unclassified,280,9
Sviridis,dispersed,unM-unM,1423,9
Sviridis,proximal,unM-unM,772,9
Sviridis,tandem,unM-unM,1545,9
Sviridis,transposed,unM-unM,912,9
Sviridis,wgd,unM-unM,1215,9
