Species,Duplication,Similarity,Number,PhyloOrder
Clanatus,dispersed,Different,173,26
Clanatus,proximal,Different,36,26
Clanatus,tandem,Different,139,26
Clanatus,transposed,Different,117,26
Clanatus,wgd,Different,172,26
Clanatus,dispersed,Same,602,26
Clanatus,proximal,Same,166,26
Clanatus,tandem,Same,416,26
Clanatus,transposed,Same,328,26
Clanatus,wgd,Same,580,26
Clanatus,dispersed,Undetermined,871,26
Clanatus,proximal,Undetermined,177,26
Clanatus,tandem,Undetermined,488,26
Clanatus,transposed,Undetermined,482,26
Clanatus,wgd,Undetermined,770,26
