Species,Duplication,Classification,Number,PhyloOrder
Gmax,dispersed,gbM-gbM,31,37
Gmax,proximal,gbM-gbM,19,37
Gmax,tandem,gbM-gbM,36,37
Gmax,transposed,gbM-gbM,91,37
Gmax,wgd,gbM-gbM,1637,37
Gmax,dispersed,gbM-teM,9,37
Gmax,proximal,gbM-teM,4,37
Gmax,tandem,gbM-teM,7,37
Gmax,transposed,gbM-teM,49,37
Gmax,wgd,gbM-teM,94,37
Gmax,dispersed,gbM-Unclassified,35,37
Gmax,proximal,gbM-Unclassified,19,37
Gmax,tandem,gbM-Unclassified,29,37
Gmax,transposed,gbM-Unclassified,91,37
Gmax,wgd,gbM-Unclassified,889,37
Gmax,dispersed,gbM-unM,48,37
Gmax,proximal,gbM-unM,32,37
Gmax,tandem,gbM-unM,69,37
Gmax,transposed,gbM-unM,233,37
Gmax,wgd,gbM-unM,1000,37
Gmax,dispersed,teM-teM,120,37
Gmax,proximal,teM-teM,24,37
Gmax,tandem,teM-teM,24,37
Gmax,transposed,teM-teM,122,37
Gmax,wgd,teM-teM,73,37
Gmax,dispersed,teM-Unclassified,62,37
Gmax,proximal,teM-Unclassified,11,37
Gmax,tandem,teM-Unclassified,16,37
Gmax,transposed,teM-Unclassified,63,37
Gmax,wgd,teM-Unclassified,93,37
Gmax,dispersed,Unclassified-Unclassified,50,37
Gmax,proximal,Unclassified-Unclassified,10,37
Gmax,tandem,Unclassified-Unclassified,42,37
Gmax,transposed,Unclassified-Unclassified,83,37
Gmax,wgd,Unclassified-Unclassified,1217,37
Gmax,dispersed,unM-teM,63,37
Gmax,proximal,unM-teM,37,37
Gmax,tandem,unM-teM,75,37
Gmax,transposed,unM-teM,224,37
Gmax,wgd,unM-teM,340,37
Gmax,dispersed,unM-Unclassified,107,37
Gmax,proximal,unM-Unclassified,48,37
Gmax,tandem,unM-Unclassified,125,37
Gmax,transposed,unM-Unclassified,280,37
Gmax,wgd,unM-Unclassified,1933,37
Gmax,dispersed,unM-unM,385,37
Gmax,proximal,unM-unM,562,37
Gmax,tandem,unM-unM,1748,37
Gmax,transposed,unM-unM,1426,37
Gmax,wgd,unM-unM,11867,37
