Species,Duplication,Similarity,Number,PhyloOrder
Mesculenta,dispersed,Different,160,24
Mesculenta,proximal,Different,49,24
Mesculenta,tandem,Different,145,24
Mesculenta,transposed,Different,229,24
Mesculenta,wgd,Different,748,24
Mesculenta,dispersed,Same,645,24
Mesculenta,proximal,Same,368,24
Mesculenta,tandem,Same,1298,24
Mesculenta,transposed,Same,1066,24
Mesculenta,wgd,Same,5367,24
Mesculenta,dispersed,Undetermined,126,24
Mesculenta,proximal,Undetermined,76,24
Mesculenta,tandem,Undetermined,139,24
Mesculenta,transposed,Undetermined,136,24
Mesculenta,wgd,Undetermined,837,24
