Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Slycopersicum,gbM-teM,gbM,teM,0,0,1,0.00146412884333821,0-0
Slycopersicum,gbM-teM,gbM,teM,1,0,8,0.0117130307467057,1-0
Slycopersicum,gbM-teM,gbM,teM,0,1,15,0.0219619326500732,0-1
Slycopersicum,gbM-teM,gbM,teM,1,1,659,0.964860907759883,1-1
Slycopersicum,unM-teM,unM,teM,0,0,8,0.0198019801980198,0-0
Slycopersicum,unM-teM,unM,teM,1,0,8,0.0198019801980198,1-0
Slycopersicum,unM-teM,unM,teM,0,1,28,0.0693069306930693,0-1
Slycopersicum,unM-teM,unM,teM,1,1,360,0.891089108910891,1-1
Slycopersicum,teM-teM,teM,teM,0,0,19,0.00996329313057158,0-0
Slycopersicum,teM-teM,teM,teM,1,0,0,0,1-0
Slycopersicum,teM-teM,teM,teM,0,1,128,0.0671211326691138,0-1
Slycopersicum,teM-teM,teM,teM,1,1,1760,0.922915574200315,1-1
Slycopersicum,gbM-gbM,gbM,gbM,0,0,4,0.00173385348938015,0-0
Slycopersicum,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Slycopersicum,gbM-gbM,gbM,gbM,0,1,103,0.0446467273515388,0-1
Slycopersicum,gbM-gbM,gbM,gbM,1,1,2200,0.953619419159081,1-1
Slycopersicum,gbM-unM,gbM,unM,0,0,0,0,0-0
Slycopersicum,gbM-unM,gbM,unM,1,0,13,0.0300230946882217,1-0
Slycopersicum,gbM-unM,gbM,unM,0,1,8,0.0184757505773672,0-1
Slycopersicum,gbM-unM,gbM,unM,1,1,412,0.951501154734411,1-1
Slycopersicum,unM-unM,unM,unM,0,0,3,0.00344036697247706,0-0
Slycopersicum,unM-unM,unM,unM,1,0,0,0,1-0
Slycopersicum,unM-unM,unM,unM,0,1,46,0.0527522935779817,0-1
Slycopersicum,unM-unM,unM,unM,1,1,823,0.943807339449541,1-1
