Species,Duplication,Classification,Number,PhyloOrder
Ppersica,dispersed,gbM-gbM,207,29
Ppersica,proximal,gbM-gbM,69,29
Ppersica,tandem,gbM-gbM,144,29
Ppersica,transposed,gbM-gbM,131,29
Ppersica,wgd,gbM-gbM,326,29
Ppersica,dispersed,gbM-teM,50,29
Ppersica,proximal,gbM-teM,37,29
Ppersica,tandem,gbM-teM,40,29
Ppersica,transposed,gbM-teM,60,29
Ppersica,wgd,gbM-teM,9,29
Ppersica,dispersed,gbM-Unclassified,143,29
Ppersica,proximal,gbM-Unclassified,52,29
Ppersica,tandem,gbM-Unclassified,155,29
Ppersica,transposed,gbM-Unclassified,87,29
Ppersica,wgd,gbM-Unclassified,139,29
Ppersica,dispersed,gbM-unM,198,29
Ppersica,proximal,gbM-unM,99,29
Ppersica,tandem,gbM-unM,216,29
Ppersica,transposed,gbM-unM,175,29
Ppersica,wgd,gbM-unM,194,29
Ppersica,dispersed,teM-teM,192,29
Ppersica,proximal,teM-teM,91,29
Ppersica,tandem,teM-teM,118,29
Ppersica,transposed,teM-teM,35,29
Ppersica,wgd,teM-teM,6,29
Ppersica,dispersed,teM-Unclassified,63,29
Ppersica,proximal,teM-Unclassified,45,29
Ppersica,tandem,teM-Unclassified,65,29
Ppersica,transposed,teM-Unclassified,29,29
Ppersica,wgd,teM-Unclassified,13,29
Ppersica,dispersed,Unclassified-Unclassified,76,29
Ppersica,proximal,Unclassified-Unclassified,55,29
Ppersica,tandem,Unclassified-Unclassified,110,29
Ppersica,transposed,Unclassified-Unclassified,49,29
Ppersica,wgd,Unclassified-Unclassified,89,29
Ppersica,dispersed,unM-teM,128,29
Ppersica,proximal,unM-teM,74,29
Ppersica,tandem,unM-teM,124,29
Ppersica,transposed,unM-teM,71,29
Ppersica,wgd,unM-teM,47,29
Ppersica,dispersed,unM-Unclassified,248,29
Ppersica,proximal,unM-Unclassified,171,29
Ppersica,tandem,unM-Unclassified,335,29
Ppersica,transposed,unM-Unclassified,193,29
Ppersica,wgd,unM-Unclassified,247,29
Ppersica,dispersed,unM-unM,526,29
Ppersica,proximal,unM-unM,380,29
Ppersica,tandem,unM-unM,1035,29
Ppersica,transposed,unM-unM,397,29
Ppersica,wgd,unM-unM,783,29
