Species,Duplication,Similarity,Number,PhyloOrder
Ppersica,dispersed,Different,376,29
Ppersica,proximal,Different,210,29
Ppersica,tandem,Different,380,29
Ppersica,transposed,Different,306,29
Ppersica,wgd,Different,250,29
Ppersica,dispersed,Same,925,29
Ppersica,proximal,Same,540,29
Ppersica,tandem,Same,1297,29
Ppersica,transposed,Same,563,29
Ppersica,wgd,Same,1115,29
Ppersica,dispersed,Undetermined,530,29
Ppersica,proximal,Undetermined,323,29
Ppersica,tandem,Undetermined,665,29
Ppersica,transposed,Undetermined,358,29
Ppersica,wgd,Undetermined,488,29
