Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Bvulgaris,gbM-gbM,gbM,gbM,0,0,5,0.0359712230215827,0-0
Bvulgaris,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Bvulgaris,gbM-gbM,gbM,gbM,0,1,19,0.136690647482014,0-1
Bvulgaris,gbM-gbM,gbM,gbM,1,1,115,0.827338129496403,1-1
Bvulgaris,gbM-unM,gbM,unM,0,0,2,0.0238095238095238,0-0
Bvulgaris,gbM-unM,gbM,unM,1,0,10,0.119047619047619,1-0
Bvulgaris,gbM-unM,gbM,unM,0,1,5,0.0595238095238095,0-1
Bvulgaris,gbM-unM,gbM,unM,1,1,67,0.797619047619048,1-1
Bvulgaris,unM-teM,unM,teM,0,0,26,0.101960784313725,0-0
Bvulgaris,unM-teM,unM,teM,1,0,31,0.12156862745098,1-0
Bvulgaris,unM-teM,unM,teM,0,1,21,0.0823529411764706,0-1
Bvulgaris,unM-teM,unM,teM,1,1,177,0.694117647058824,1-1
Bvulgaris,teM-teM,teM,teM,0,0,66,0.0800970873786408,0-0
Bvulgaris,teM-teM,teM,teM,1,0,0,0,1-0
Bvulgaris,teM-teM,teM,teM,0,1,231,0.280339805825243,0-1
Bvulgaris,teM-teM,teM,teM,1,1,527,0.639563106796116,1-1
Bvulgaris,gbM-teM,gbM,teM,0,0,4,0.0341880341880342,0-0
Bvulgaris,gbM-teM,gbM,teM,1,0,22,0.188034188034188,1-0
Bvulgaris,gbM-teM,gbM,teM,0,1,6,0.0512820512820513,0-1
Bvulgaris,gbM-teM,gbM,teM,1,1,85,0.726495726495726,1-1
Bvulgaris,unM-unM,unM,unM,0,0,41,0.0990338164251208,0-0
Bvulgaris,unM-unM,unM,unM,1,0,0,0,1-0
Bvulgaris,unM-unM,unM,unM,0,1,40,0.0966183574879227,0-1
Bvulgaris,unM-unM,unM,unM,1,1,333,0.804347826086957,1-1
