Species,Duplication,Classification,Number,PhyloOrder
Fxananassa,dispersed,gbM-gbM,24,33
Fxananassa,proximal,gbM-gbM,55,33
Fxananassa,tandem,gbM-gbM,61,33
Fxananassa,transposed,gbM-gbM,162,33
Fxananassa,wgd,gbM-gbM,3620,33
Fxananassa,dispersed,gbM-teM,59,33
Fxananassa,proximal,gbM-teM,27,33
Fxananassa,tandem,gbM-teM,5,33
Fxananassa,transposed,gbM-teM,188,33
Fxananassa,wgd,gbM-teM,310,33
Fxananassa,dispersed,gbM-Unclassified,30,33
Fxananassa,proximal,gbM-Unclassified,46,33
Fxananassa,tandem,gbM-Unclassified,38,33
Fxananassa,transposed,gbM-Unclassified,228,33
Fxananassa,wgd,gbM-Unclassified,3999,33
Fxananassa,dispersed,gbM-unM,70,33
Fxananassa,proximal,gbM-unM,165,33
Fxananassa,tandem,gbM-unM,167,33
Fxananassa,transposed,gbM-unM,362,33
Fxananassa,wgd,gbM-unM,3076,33
Fxananassa,dispersed,teM-teM,751,33
Fxananassa,proximal,teM-teM,91,33
Fxananassa,tandem,teM-teM,54,33
Fxananassa,transposed,teM-teM,1516,33
Fxananassa,wgd,teM-teM,751,33
Fxananassa,dispersed,teM-Unclassified,189,33
Fxananassa,proximal,teM-Unclassified,17,33
Fxananassa,tandem,teM-Unclassified,15,33
Fxananassa,transposed,teM-Unclassified,352,33
Fxananassa,wgd,teM-Unclassified,401,33
Fxananassa,dispersed,Unclassified-Unclassified,32,33
Fxananassa,proximal,Unclassified-Unclassified,26,33
Fxananassa,tandem,Unclassified-Unclassified,20,33
Fxananassa,transposed,Unclassified-Unclassified,107,33
Fxananassa,wgd,Unclassified-Unclassified,2172,33
Fxananassa,dispersed,unM-teM,183,33
Fxananassa,proximal,unM-teM,102,33
Fxananassa,tandem,unM-teM,90,33
Fxananassa,transposed,unM-teM,517,33
Fxananassa,wgd,unM-teM,871,33
Fxananassa,dispersed,unM-Unclassified,105,33
Fxananassa,proximal,unM-Unclassified,159,33
Fxananassa,tandem,unM-Unclassified,144,33
Fxananassa,transposed,unM-Unclassified,397,33
Fxananassa,wgd,unM-Unclassified,3672,33
Fxananassa,dispersed,unM-unM,310,33
Fxananassa,proximal,unM-unM,811,33
Fxananassa,tandem,unM-unM,974,33
Fxananassa,transposed,unM-unM,1346,33
Fxananassa,wgd,unM-unM,13126,33
