Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Fxananassa,gbM-unM,gbM,unM,0,0,179,0.0468463752944255,0-0
Fxananassa,gbM-unM,gbM,unM,1,0,358,0.0936927505888511,1-0
Fxananassa,gbM-unM,gbM,unM,0,1,302,0.0790369013347291,0-1
Fxananassa,gbM-unM,gbM,unM,1,1,2982,0.780423972781994,1-1
Fxananassa,unM-unM,unM,unM,0,0,766,0.0465483714146816,0-0
Fxananassa,unM-unM,unM,unM,1,0,0,0,1-0
Fxananassa,unM-unM,unM,unM,0,1,2634,0.160063198833252,0-1
Fxananassa,unM-unM,unM,unM,1,1,13056,0.793388429752066,1-1
Fxananassa,gbM-teM,gbM,teM,0,0,8,0.0136752136752137,0-0
Fxananassa,gbM-teM,gbM,teM,1,0,19,0.0324786324786325,1-0
Fxananassa,gbM-teM,gbM,teM,0,1,33,0.0564102564102564,0-1
Fxananassa,gbM-teM,gbM,teM,1,1,525,0.897435897435897,1-1
Fxananassa,unM-teM,unM,teM,0,0,16,0.00920069005175388,0-0
Fxananassa,unM-teM,unM,teM,1,0,43,0.0247268545140886,1-0
Fxananassa,unM-teM,unM,teM,0,1,141,0.0810810810810811,0-1
Fxananassa,unM-teM,unM,teM,1,1,1539,0.884991374353077,1-1
Fxananassa,teM-teM,teM,teM,0,0,29,0.00917431192660551,0-0
Fxananassa,teM-teM,teM,teM,1,0,0,0,1-0
Fxananassa,teM-teM,teM,teM,0,1,204,0.0645365390699146,0-1
Fxananassa,teM-teM,teM,teM,1,1,2928,0.92628914900348,1-1
Fxananassa,gbM-gbM,gbM,gbM,0,0,151,0.0385400714650332,0-0
Fxananassa,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Fxananassa,gbM-gbM,gbM,gbM,0,1,557,0.142164369576314,0-1
Fxananassa,gbM-gbM,gbM,gbM,1,1,3210,0.819295558958652,1-1
