Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Fxananassa,gbM,0,gbM-gbM,706,0.111058675475853
Fxananassa,gbM,1,gbM-gbM,5651,0.888941324524147
Fxananassa,gbM,0,gbM-teM,38,0.0732177263969171
Fxananassa,teM,0,gbM-teM,26,0.0481481481481481
Fxananassa,gbM,1,gbM-teM,481,0.926782273603083
Fxananassa,teM,1,gbM-teM,514,0.951851851851852
Fxananassa,gbM,0,gbM-unM,440,0.12786980528916
Fxananassa,unM,0,gbM-unM,507,0.139707908514742
Fxananassa,gbM,1,gbM-unM,3001,0.87213019471084
Fxananassa,unM,1,gbM-unM,3122,0.860292091485258
Fxananassa,teM,0,teM-teM,211,0.0431757724575404
Fxananassa,teM,1,teM-teM,4676,0.95682422754246
Fxananassa,unM,0,unM-teM,144,0.0891089108910891
Fxananassa,teM,0,unM-teM,54,0.0330882352941176
Fxananassa,unM,1,unM-teM,1472,0.910891089108911
Fxananassa,teM,1,unM-teM,1578,0.966911764705882
Fxananassa,unM,0,unM-unM,3459,0.125649315267536
Fxananassa,unM,1,unM-unM,24070,0.874350684732464
