Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Pxbretschneideri,gbM,0,gbM-gbM,21,0.0172272354388843
Pxbretschneideri,gbM,1,gbM-gbM,1198,0.982772764561116
Pxbretschneideri,gbM,0,gbM-teM,0,0
Pxbretschneideri,teM,0,gbM-teM,0,0
Pxbretschneideri,gbM,1,gbM-teM,38,1
Pxbretschneideri,teM,1,gbM-teM,39,1
Pxbretschneideri,gbM,0,gbM-unM,4,0.0179372197309417
Pxbretschneideri,unM,0,gbM-unM,3,0.0134529147982063
Pxbretschneideri,gbM,1,gbM-unM,219,0.982062780269058
Pxbretschneideri,unM,1,gbM-unM,220,0.986547085201794
Pxbretschneideri,teM,0,teM-teM,4,0.0137931034482759
Pxbretschneideri,teM,1,teM-teM,286,0.986206896551724
Pxbretschneideri,unM,0,unM-teM,3,0.0225563909774436
Pxbretschneideri,teM,0,unM-teM,2,0.0144927536231884
Pxbretschneideri,unM,1,unM-teM,130,0.977443609022556
Pxbretschneideri,teM,1,unM-teM,136,0.985507246376812
Pxbretschneideri,unM,0,unM-unM,42,0.0128715905608336
Pxbretschneideri,unM,1,unM-unM,3221,0.987128409439166
