Species,Duplication,Classification,Number,PhyloOrder
Cpapaya,dispersed,gbM-gbM,517,17
Cpapaya,proximal,gbM-gbM,60,17
Cpapaya,tandem,gbM-gbM,103,17
Cpapaya,transposed,gbM-gbM,223,17
Cpapaya,wgd,gbM-gbM,91,17
Cpapaya,dispersed,gbM-teM,222,17
Cpapaya,proximal,gbM-teM,21,17
Cpapaya,tandem,gbM-teM,25,17
Cpapaya,transposed,gbM-teM,51,17
Cpapaya,wgd,gbM-teM,4,17
Cpapaya,dispersed,gbM-Unclassified,257,17
Cpapaya,proximal,gbM-Unclassified,41,17
Cpapaya,tandem,gbM-Unclassified,44,17
Cpapaya,transposed,gbM-Unclassified,88,17
Cpapaya,wgd,gbM-Unclassified,30,17
Cpapaya,dispersed,gbM-unM,302,17
Cpapaya,proximal,gbM-unM,50,17
Cpapaya,tandem,gbM-unM,78,17
Cpapaya,transposed,gbM-unM,102,17
Cpapaya,wgd,gbM-unM,51,17
Cpapaya,dispersed,teM-teM,924,17
Cpapaya,proximal,teM-teM,126,17
Cpapaya,tandem,teM-teM,112,17
Cpapaya,transposed,teM-teM,385,17
Cpapaya,wgd,teM-teM,9,17
Cpapaya,dispersed,teM-Unclassified,114,17
Cpapaya,proximal,teM-Unclassified,15,17
Cpapaya,tandem,teM-Unclassified,21,17
Cpapaya,transposed,teM-Unclassified,16,17
Cpapaya,wgd,teM-Unclassified,3,17
Cpapaya,dispersed,Unclassified-Unclassified,91,17
Cpapaya,proximal,Unclassified-Unclassified,8,17
Cpapaya,tandem,Unclassified-Unclassified,19,17
Cpapaya,transposed,Unclassified-Unclassified,27,17
Cpapaya,wgd,Unclassified-Unclassified,18,17
Cpapaya,dispersed,unM-teM,238,17
Cpapaya,proximal,unM-teM,30,17
Cpapaya,tandem,unM-teM,38,17
Cpapaya,transposed,unM-teM,50,17
Cpapaya,wgd,unM-teM,5,17
Cpapaya,dispersed,unM-Unclassified,173,17
Cpapaya,proximal,unM-Unclassified,39,17
Cpapaya,tandem,unM-Unclassified,75,17
Cpapaya,transposed,unM-Unclassified,69,17
Cpapaya,wgd,unM-Unclassified,25,17
Cpapaya,dispersed,unM-unM,649,17
Cpapaya,proximal,unM-unM,111,17
Cpapaya,tandem,unM-unM,307,17
Cpapaya,transposed,unM-unM,287,17
Cpapaya,wgd,unM-unM,134,17
