Species,Duplication,Similarity,Number,PhyloOrder
Cpapaya,dispersed,Different,810,17
Cpapaya,proximal,Different,102,17
Cpapaya,tandem,Different,141,17
Cpapaya,transposed,Different,210,17
Cpapaya,wgd,Different,60,17
Cpapaya,dispersed,Same,2283,17
Cpapaya,proximal,Same,299,17
Cpapaya,tandem,Same,534,17
Cpapaya,transposed,Same,907,17
Cpapaya,wgd,Same,234,17
Cpapaya,dispersed,Undetermined,678,17
Cpapaya,proximal,Undetermined,103,17
Cpapaya,tandem,Undetermined,159,17
Cpapaya,transposed,Undetermined,204,17
Cpapaya,wgd,Undetermined,76,17
