Species,Duplication,Classification,Number,PhyloOrder
Bdistachyon,dispersed,gbM-gbM,667,5
Bdistachyon,proximal,gbM-gbM,108,5
Bdistachyon,tandem,gbM-gbM,145,5
Bdistachyon,transposed,gbM-gbM,316,5
Bdistachyon,wgd,gbM-gbM,416,5
Bdistachyon,dispersed,gbM-teM,144,5
Bdistachyon,proximal,gbM-teM,28,5
Bdistachyon,tandem,gbM-teM,45,5
Bdistachyon,transposed,gbM-teM,96,5
Bdistachyon,wgd,gbM-teM,9,5
Bdistachyon,dispersed,gbM-Unclassified,355,5
Bdistachyon,proximal,gbM-Unclassified,70,5
Bdistachyon,tandem,gbM-Unclassified,78,5
Bdistachyon,transposed,gbM-Unclassified,146,5
Bdistachyon,wgd,gbM-Unclassified,184,5
Bdistachyon,dispersed,gbM-unM,420,5
Bdistachyon,proximal,gbM-unM,129,5
Bdistachyon,tandem,gbM-unM,151,5
Bdistachyon,transposed,gbM-unM,247,5
Bdistachyon,wgd,gbM-unM,167,5
Bdistachyon,dispersed,teM-teM,763,5
Bdistachyon,proximal,teM-teM,85,5
Bdistachyon,tandem,teM-teM,103,5
Bdistachyon,transposed,teM-teM,148,5
Bdistachyon,wgd,teM-teM,17,5
Bdistachyon,dispersed,teM-Unclassified,146,5
Bdistachyon,proximal,teM-Unclassified,36,5
Bdistachyon,tandem,teM-Unclassified,35,5
Bdistachyon,transposed,teM-Unclassified,41,5
Bdistachyon,wgd,teM-Unclassified,13,5
Bdistachyon,dispersed,Unclassified-Unclassified,271,5
Bdistachyon,proximal,Unclassified-Unclassified,59,5
Bdistachyon,tandem,Unclassified-Unclassified,64,5
Bdistachyon,transposed,Unclassified-Unclassified,119,5
Bdistachyon,wgd,Unclassified-Unclassified,200,5
Bdistachyon,dispersed,unM-teM,319,5
Bdistachyon,proximal,unM-teM,71,5
Bdistachyon,tandem,unM-teM,99,5
Bdistachyon,transposed,unM-teM,100,5
Bdistachyon,wgd,unM-teM,28,5
Bdistachyon,dispersed,unM-Unclassified,441,5
Bdistachyon,proximal,unM-Unclassified,130,5
Bdistachyon,tandem,unM-Unclassified,173,5
Bdistachyon,transposed,unM-Unclassified,182,5
Bdistachyon,wgd,unM-Unclassified,218,5
Bdistachyon,dispersed,unM-unM,1104,5
Bdistachyon,proximal,unM-unM,426,5
Bdistachyon,tandem,unM-unM,851,5
Bdistachyon,transposed,unM-unM,687,5
Bdistachyon,wgd,unM-unM,822,5
