Species,Classification,Orthogroup,Count
Brapa,TE.like,OG0000096,71
Brapa,TE.like,OG0000400,152
Brapa,TE.like,OG0001077,42
Brapa,Unmethylated,OG0000001,80
Brapa,Unmethylated,OG0000007,167
Brapa,Unmethylated,OG0000009,66
Brapa,Unmethylated,OG0000078,111
Brapa,Unmethylated,OG0000141,78
Brapa,Unclassified,OG0000007,9
Brapa,Unclassified,OG0000016,24
Brapa,Unclassified,OG0000084,11
Brapa,Unclassified,OG0001741,9
Brapa,Unclassified,OG0007270,9
Brapa,Missing,OG0000059,5
Brapa,Missing,OG0000148,3
Brapa,Missing,OG0000400,3
Brapa,Missing,OG0000420,4
Brapa,Missing,OG0001077,3
Brapa,Missing,OG0001236,3
Brapa,Missing,OG0004391,3
Brapa,Missing,OG0007091,3
Brapa,Missing,OG0010634,3
Brapa,Missing,OG0011714,3
Brapa,Missing,OG0012904,3
Brapa,Missing,OG0013193,3
Brapa,Missing,OG0029786,3
Bvulgaris,gbM,OG0000008,5
Bvulgaris,gbM,OG0000013,4
Bvulgaris,gbM,OG0000019,8
Bvulgaris,gbM,OG0000103,4
Bvulgaris,gbM,OG0000146,4
Bvulgaris,gbM,OG0007440,4
Bvulgaris,TE.like,OG0000057,36
Bvulgaris,TE.like,OG0011662,52
Bvulgaris,TE.like,OG0012254,39
Bvulgaris,TE.like,OG0012930,24
Bvulgaris,TE.like,OG0013311,24
Bvulgaris,TE.like,OG0013781,24
Bvulgaris,Unmethylated,OG0000000,13
Bvulgaris,Unmethylated,OG0000002,22
Bvulgaris,Unmethylated,OG0000011,14
Bvulgaris,Unmethylated,OG0000064,15
Bvulgaris,Unmethylated,OG0000204,14
Bvulgaris,Unclassified,OG0000000,31
Bvulgaris,Unclassified,OG0000011,18
Bvulgaris,Unclassified,OG0000018,15
Bvulgaris,Unclassified,OG0000019,16
Bvulgaris,Unclassified,OG0000026,14
Bvulgaris,Missing,OG0000000,14
Bvulgaris,Missing,OG0000021,15
Bvulgaris,Missing,OG0000026,25
Bvulgaris,Missing,OG0000030,13
Bvulgaris,Missing,OG0000089,18
Bvulgaris,Missing,OG0000127,13
Bvulgaris,Missing,OG0000188,13
Cclementina,gbM,OG0000006,12
Cclementina,gbM,OG0000013,11
Cclementina,gbM,OG0000019,13
Cclementina,gbM,OG0000026,12
Cclementina,gbM,OG0000029,14
Cclementina,gbM,OG0000042,11
Cclementina,TE.like,OG0000010,15
Cclementina,TE.like,OG0000014,34
Cclementina,TE.like,OG0000023,30
Cclementina,TE.like,OG0000024,28
Cclementina,TE.like,OG0000046,79
Cclementina,TE.like,OG0006749,15
Cclementina,Unmethylated,OG0000000,53
Cclementina,Unmethylated,OG0000001,51
Cclementina,Unmethylated,OG0000002,59
Cclementina,Unmethylated,OG0000035,60
Cclementina,Unmethylated,OG0000094,52
Cclementina,Unclassified,OG0000003,8
Cclementina,Unclassified,OG0000007,9
Cclementina,Unclassified,OG0000013,8
Cclementina,Unclassified,OG0000016,10
Cclementina,Unclassified,OG0007235,8
Cclementina,Missing,OG0000054,10
Cclementina,Missing,OG0001473,13
Cclementina,Missing,OG0001970,10
Cclementina,Missing,OG0002595,9
Cclementina,Missing,OG0012512,8
Cpapaya,gbM,OG0000022,37
Cpapaya,gbM,OG0000042,14
Cpapaya,gbM,OG0000163,15
Cpapaya,gbM,OG0000314,14
Cpapaya,gbM,OG0007446,13
Cpapaya,TE.like,OG0000175,86
Cpapaya,TE.like,OG0000197,70
Cpapaya,TE.like,OG0000210,138
Cpapaya,TE.like,OG0000257,211
Cpapaya,TE.like,OG0004268,109
Cpapaya,Unmethylated,OG0000001,38
Cpapaya,Unmethylated,OG0000002,15
Cpapaya,Unmethylated,OG0000009,18
Cpapaya,Unmethylated,OG0000015,15
Cpapaya,Unmethylated,OG0000020,17
Cpapaya,Unmethylated,OG0000022,25
Cpapaya,Unclassified,OG0000013,16
Cpapaya,Unclassified,OG0000022,130
Cpapaya,Unclassified,OG0000210,24
Cpapaya,Unclassified,OG0000314,27
Cpapaya,Unclassified,OG0011290,18
Cpapaya,Missing,OG0000197,12
Cpapaya,Missing,OG0000257,19
Cpapaya,Missing,OG0012386,22
Cpapaya,Missing,OG0012561,10
Cpapaya,Missing,OG0013413,18
Clanatus,gbM,OG0000001,9
Clanatus,gbM,OG0000013,10
Clanatus,gbM,OG0000029,12
Clanatus,gbM,OG0000034,8
Clanatus,gbM,OG0000039,8
Clanatus,gbM,OG0000068,8
Clanatus,TE.like,OG0000076,14
Clanatus,TE.like,OG0000080,13
Clanatus,TE.like,OG0000095,12
Clanatus,TE.like,OG0000242,26
Clanatus,TE.like,OG0000759,12
Clanatus,TE.like,OG0001149,14
Clanatus,Unmethylated,OG0000001,17
Clanatus,Unmethylated,OG0000009,13
Clanatus,Unmethylated,OG0000020,16
Clanatus,Unmethylated,OG0000027,15
Clanatus,Unmethylated,OG0000035,13
Clanatus,Unclassified,OG0000004,11
Clanatus,Unclassified,OG0000013,26
Clanatus,Unclassified,OG0000019,14
Clanatus,Unclassified,OG0000021,23
Clanatus,Unclassified,OG0000033,11
Clanatus,Missing,OG0000054,3
Clanatus,Missing,OG0000076,5
Clanatus,Missing,OG0000147,3
Clanatus,Missing,OG0000242,5
Clanatus,Missing,OG0001930,4
Clanatus,Missing,OG0012998,3
Cmelo,gbM,OG0000013,8
Cmelo,gbM,OG0000019,13
Cmelo,gbM,OG0000029,13
Cmelo,gbM,OG0000031,8
Cmelo,gbM,OG0000042,9
Cmelo,gbM,OG0000054,8
Cmelo,TE.like,OG0000242,76
Cmelo,TE.like,OG0000470,264
Cmelo,TE.like,OG0002477,124
Cmelo,TE.like,OG0003328,116
Cmelo,TE.like,OG0003612,94
Cmelo,Unmethylated,OG0000001,20
