Species,Classification,Orthogroup,Count
Mesculenta,Unclassified,OG0000062,12
Mesculenta,Unclassified,OG0000076,13
Mesculenta,Unclassified,OG0000089,10
Mesculenta,Unclassified,OG0000128,14
Mesculenta,Unclassified,OG0011357,8
Mesculenta,Missing,OG0000026,64
Mesculenta,Missing,OG0000062,35
Mesculenta,Missing,OG0000076,121
Mesculenta,Missing,OG0000128,38
Mesculenta,Missing,OG0001244,101
Mguttatus,gbM,OG0000000,99
Mguttatus,gbM,OG0000002,40
Mguttatus,gbM,OG0000007,47
Mguttatus,gbM,OG0000139,57
Mguttatus,gbM,OG0009960,43
Mguttatus,TE.like,OG0000005,45
Mguttatus,TE.like,OG0000012,27
Mguttatus,TE.like,OG0000021,56
Mguttatus,TE.like,OG0000054,66
Mguttatus,TE.like,OG0000098,44
Mguttatus,Unmethylated,OG0000001,9
Mguttatus,Unmethylated,OG0000020,13
Mguttatus,Unmethylated,OG0000027,13
Mguttatus,Unmethylated,OG0000069,9
Mguttatus,Unmethylated,OG0000071,9
Mguttatus,Unmethylated,OG0000110,10
Mguttatus,Unmethylated,OG0000147,9
Mguttatus,Unmethylated,OG0000240,9
Mguttatus,Unmethylated,OG0000673,10
Mguttatus,Unclassified,OG0000005,12
Mguttatus,Unclassified,OG0000009,10
Mguttatus,Unclassified,OG0000021,17
Mguttatus,Unclassified,OG0000225,9
Mguttatus,Unclassified,OG0014355,9
Mguttatus,Unclassified,OG0014775,12
Mguttatus,Unclassified,OG0014776,9
Mguttatus,Missing,OG0000005,20
Mguttatus,Missing,OG0001244,30
Mguttatus,Missing,OG0004638,11
Mguttatus,Missing,OG0012713,32
Mguttatus,Missing,OG0013537,23
Mtruncatula,gbM,OG0000003,64
Mtruncatula,gbM,OG0000004,59
Mtruncatula,gbM,OG0000006,37
Mtruncatula,gbM,OG0001032,39
Mtruncatula,gbM,OG0001189,33
Mtruncatula,TE.like,OG0000000,67
Mtruncatula,TE.like,OG0000022,56
Mtruncatula,TE.like,OG0002105,54
Mtruncatula,TE.like,OG0002476,51
Mtruncatula,TE.like,OG0003656,62
Mtruncatula,Unmethylated,OG0000000,42
Mtruncatula,Unmethylated,OG0000001,46
Mtruncatula,Unmethylated,OG0000054,35
Mtruncatula,Unmethylated,OG0001722,80
Mtruncatula,Unmethylated,OG0005130,58
Mtruncatula,Unclassified,OG0000000,59
Mtruncatula,Unclassified,OG0000003,27
Mtruncatula,Unclassified,OG0000005,29
Mtruncatula,Unclassified,OG0000007,27
Mtruncatula,Unclassified,OG0000021,48
Mtruncatula,Unclassified,OG0001722,38
Mtruncatula,Missing,OG0000000,77
Mtruncatula,Missing,OG0000017,72
Mtruncatula,Missing,OG0000096,72
Mtruncatula,Missing,OG0009961,60
Mtruncatula,Missing,OG0010129,57
Osativa,gbM,OG0000008,36
Osativa,gbM,OG0000012,33
Osativa,gbM,OG0000039,24
Osativa,gbM,OG0000269,38
Osativa,gbM,OG0006914,23
Osativa,TE.like,OG0000269,245
Osativa,TE.like,OG0000813,248
Osativa,TE.like,OG0001470,202
Osativa,TE.like,OG0004509,80
Osativa,TE.like,OG0004880,99
Osativa,Unmethylated,OG0000001,38
Osativa,Unmethylated,OG0000034,32
Osativa,Unmethylated,OG0000048,33
Osativa,Unmethylated,OG0001685,34
Osativa,Unmethylated,OG0003484,33
Osativa,Unclassified,OG0000016,21
Osativa,Unclassified,OG0000269,109
Osativa,Unclassified,OG0000880,21
Osativa,Unclassified,OG0005951,24
Osativa,Unclassified,OG0006914,24
Osativa,Missing,OG0000269,97
Osativa,Missing,OG0005951,27
Osativa,Missing,OG0009962,26
Osativa,Missing,OG0012871,16
Osativa,Missing,OG0013670,20
Phallii,gbM,OG0000008,18
Phallii,gbM,OG0000012,9
Phallii,gbM,OG0000013,9
Phallii,gbM,OG0000019,14
Phallii,gbM,OG0000029,9
Phallii,gbM,OG0000039,22
Phallii,gbM,OG0000145,10
Phallii,TE.like,OG0000111,31
Phallii,TE.like,OG0001062,40
Phallii,TE.like,OG0002417,100
Phallii,TE.like,OG0003260,48
Phallii,TE.like,OG0009963,41
Phallii,Unmethylated,OG0000001,39
Phallii,Unmethylated,OG0000002,60
Phallii,Unmethylated,OG0000011,35
Phallii,Unmethylated,OG0000015,37
Phallii,Unmethylated,OG0000440,34
Phallii,Unclassified,OG0000046,17
Phallii,Unclassified,OG0001062,23
Phallii,Unclassified,OG0002417,29
Phallii,Unclassified,OG0003150,52
Phallii,Unclassified,OG0006433,35
Phallii,Unclassified,OG0010982,17
Phallii,Missing,OG0003150,62
Phallii,Missing,OG0010639,37
Phallii,Missing,OG0010982,32
Phallii,Missing,OG0011670,53
Phallii,Missing,OG0012496,34
Ppersica,gbM,OG0000003,29
Ppersica,gbM,OG0000004,20
Ppersica,gbM,OG0000008,15
Ppersica,gbM,OG0000031,14
Ppersica,gbM,OG0000039,19
Ppersica,TE.like,OG0000003,32
Ppersica,TE.like,OG0000008,22
Ppersica,TE.like,OG0000010,44
Ppersica,TE.like,OG0000080,27
Ppersica,TE.like,OG0000647,22
Ppersica,Unmethylated,OG0000000,67
Ppersica,Unmethylated,OG0000001,52
Ppersica,Unmethylated,OG0000003,37
Ppersica,Unmethylated,OG0000008,31
Ppersica,Unmethylated,OG0000054,31
Ppersica,Unclassified,OG0000000,17
Ppersica,Unclassified,OG0000003,39
Ppersica,Unclassified,OG0000005,19
Ppersica,Unclassified,OG0000021,22
Ppersica,Unclassified,OG0000267,19
Ppersica,Missing,OG0000076,12
Ppersica,Missing,OG0000226,7
Ppersica,Missing,OG0000267,36
Ppersica,Missing,OG0000536,6
Ppersica,Missing,OG0014143,7
Ptrichocarpa,gbM,OG0000029,12
Ptrichocarpa,gbM,OG0000039,10
Ptrichocarpa,gbM,OG0000142,9
Ptrichocarpa,gbM,OG0000216,9
Ptrichocarpa,gbM,OG0000697,9
Ptrichocarpa,TE.like,OG0000111,57
Ptrichocarpa,TE.like,OG0000128,43
Ptrichocarpa,TE.like,OG0000207,76
Ptrichocarpa,TE.like,OG0000213,48
Ptrichocarpa,TE.like,OG0013148,29
Ptrichocarpa,Unmethylated,OG0000001,94
Ptrichocarpa,Unmethylated,OG0000004,126
Ptrichocarpa,Unmethylated,OG0000006,69
Ptrichocarpa,Unmethylated,OG0000392,80
Ptrichocarpa,Unmethylated,OG0004789,82
Ptrichocarpa,Unclassified,OG0000004,7
Ptrichocarpa,Unclassified,OG0000005,8
Ptrichocarpa,Unclassified,OG0000026,7
Ptrichocarpa,Unclassified,OG0000128,9
Ptrichocarpa,Unclassified,OG0000198,7
Ptrichocarpa,Unclassified,OG0004789,11
Ptrichocarpa,Unclassified,OG0008192,9
Ptrichocarpa,Unclassified,OG0013043,7
Ptrichocarpa,Missing,OG0000053,17
Ptrichocarpa,Missing,OG0000420,18
Ptrichocarpa,Missing,OG0001244,16
Ptrichocarpa,Missing,OG0008853,19
Ptrichocarpa,Missing,OG0013043,21
Pvirgatum,gbM,OG0000011,15
Pvirgatum,gbM,OG0000012,20
Pvirgatum,gbM,OG0000039,19
Pvirgatum,gbM,OG0000063,17
Pvirgatum,gbM,OG0000145,15
Pvirgatum,TE.like,OG0000017,40
Pvirgatum,TE.like,OG0000022,32
Pvirgatum,TE.like,OG0000046,37
Pvirgatum,TE.like,OG0000314,36
Pvirgatum,TE.like,OG0000348,50
Pvirgatum,Unmethylated,OG0000001,76
Pvirgatum,Unmethylated,OG0000002,96
Pvirgatum,Unmethylated,OG0000011,73
Pvirgatum,Unmethylated,OG0000048,70
Pvirgatum,Unmethylated,OG0000284,67
Pvirgatum,Unclassified,OG0000012,28
Pvirgatum,Unclassified,OG0000013,34
Pvirgatum,Unclassified,OG0000017,38
Pvirgatum,Unclassified,OG0000046,42
Pvirgatum,Unclassified,OG0000348,84
Pvirgatum,Missing,OG0000348,286
Pvirgatum,Missing,OG0002653,122
Pvirgatum,Missing,OG0003290,114
Pvirgatum,Missing,OG0005427,74
Pvirgatum,Missing,OG0006755,75
Pvulgaris,gbM,OG0000039,6
Pvulgaris,gbM,OG0000072,4
Pvulgaris,gbM,OG0000145,5
Pvulgaris,gbM,OG0000279,5
Pvulgaris,gbM,OG0000287,4
Pvulgaris,gbM,OG0001006,4
Pvulgaris,gbM,OG0001238,4
Pvulgaris,gbM,OG0004153,4
Pvulgaris,TE.like,OG0000005,40
Pvulgaris,TE.like,OG0000006,101
Pvulgaris,TE.like,OG0000054,30
Pvulgaris,TE.like,OG0001580,55
Pvulgaris,TE.like,OG0002590,39
Pvulgaris,Unmethylated,OG0000001,60
Pvulgaris,Unmethylated,OG0000002,40
Pvulgaris,Unmethylated,OG0000003,44
Pvulgaris,Unmethylated,OG0000009,44
Pvulgaris,Unmethylated,OG0012144,40
Pvulgaris,Unclassified,OG0000054,5
Pvulgaris,Unclassified,OG0000076,5
Pvulgaris,Unclassified,OG0000145,5
Pvulgaris,Unclassified,OG0006727,5
Pvulgaris,Unclassified,OG0013030,5
Pvulgaris,Unclassified,OG0013139,9
Pvulgaris,Missing,OG0000053,5
Pvulgaris,Missing,OG0000117,6
Pvulgaris,Missing,OG0000144,6
Pvulgaris,Missing,OG0000628,5
Pvulgaris,Missing,OG0000679,5
Pvulgaris,Missing,OG0023307,6
Pxbretschneideri,gbM,OG0000003,18
Pxbretschneideri,gbM,OG0000019,11
Pxbretschneideri,gbM,OG0000039,12
Pxbretschneideri,gbM,OG0000084,14
Pxbretschneideri,gbM,OG0000145,9
Pxbretschneideri,gbM,OG0000216,9
Pxbretschneideri,TE.like,OG0000003,50
Pxbretschneideri,TE.like,OG0000010,30
Pxbretschneideri,TE.like,OG0000012,23
Pxbretschneideri,TE.like,OG0000030,22
Pxbretschneideri,TE.like,OG0000137,35
Pxbretschneideri,Unmethylated,OG0000000,34
Pxbretschneideri,Unmethylated,OG0000001,66
Pxbretschneideri,Unmethylated,OG0000020,28
Pxbretschneideri,Unmethylated,OG0000041,23
Pxbretschneideri,Unmethylated,OG0000083,23
Pxbretschneideri,Unclassified,OG0000000,29
Pxbretschneideri,Unclassified,OG0000003,66
Pxbretschneideri,Unclassified,OG0000004,27
Pxbretschneideri,Unclassified,OG0000006,27
Pxbretschneideri,Unclassified,OG0000010,28
Pxbretschneideri,Unclassified,OG0000012,30
Pxbretschneideri,Missing,OG0000000,18
Pxbretschneideri,Missing,OG0000003,37
Pxbretschneideri,Missing,OG0000070,20
Pxbretschneideri,Missing,OG0000175,22
Pxbretschneideri,Missing,OG0000280,18
Sbicolor,gbM,OG0000008,20
Sbicolor,gbM,OG0000011,15
Sbicolor,gbM,OG0000012,17
Sbicolor,gbM,OG0000019,15
Sbicolor,gbM,OG0000039,21
Sbicolor,TE.like,OG0000011,14
Sbicolor,TE.like,OG0000351,14
Sbicolor,TE.like,OG0003748,17
Sbicolor,TE.like,OG0010334,14
Sbicolor,TE.like,OG0012186,15
Sbicolor,Unmethylated,OG0000001,38
Sbicolor,Unmethylated,OG0000002,70
Sbicolor,Unmethylated,OG0000036,37
Sbicolor,Unmethylated,OG0000044,31
Sbicolor,Unmethylated,OG0000284,45
Sbicolor,Unclassified,OG0000013,11
Sbicolor,Unclassified,OG0000088,10
Sbicolor,Unclassified,OG0000880,10
Sbicolor,Unclassified,OG0002381,135
Sbicolor,Unclassified,OG0010755,60
Sbicolor,Missing,OG0000053,16
Sbicolor,Missing,OG0000059,20
Sbicolor,Missing,OG0012442,29
Sbicolor,Missing,OG0013343,10
Sbicolor,Missing,OG0014164,10
Sitalica,gbM,OG0000008,21
Sitalica,gbM,OG0000012,17
Sitalica,gbM,OG0000019,19
Sitalica,gbM,OG0000039,19
Sitalica,gbM,OG0000929,14
Sitalica,TE.like,OG0000017,79
Sitalica,TE.like,OG0001703,26
Sitalica,TE.like,OG0004716,19
Sitalica,TE.like,OG0005702,26
Sitalica,TE.like,OG0010859,25
Sitalica,Unmethylated,OG0000001,39
Sitalica,Unmethylated,OG0000002,81
Sitalica,Unmethylated,OG0000011,58
Sitalica,Unmethylated,OG0000015,37
Sitalica,Unmethylated,OG0000034,34
Sitalica,Unmethylated,OG0000044,34
Sitalica,Unclassified,OG0000047,20
Sitalica,Unclassified,OG0000284,15
Sitalica,Unclassified,OG0010859,14
Sitalica,Unclassified,OG0011292,26
Sitalica,Unclassified,OG0012204,14
Sitalica,Missing,OG0000199,14
Sitalica,Missing,OG0001244,10
Sitalica,Missing,OG0010859,23
Sitalica,Missing,OG0012204,16
Sitalica,Missing,OG0012394,16
Slycopersicum,gbM,OG0000004,18
Slycopersicum,gbM,OG0000013,13
Slycopersicum,gbM,OG0000015,12
Slycopersicum,gbM,OG0000120,11
Slycopersicum,gbM,OG0000691,13
Slycopersicum,TE.like,OG0000017,81
Slycopersicum,TE.like,OG0000057,89
Slycopersicum,TE.like,OG0000173,89
Slycopersicum,TE.like,OG0000407,74
Slycopersicum,TE.like,OG0003842,101
Slycopersicum,Unmethylated,OG0000000,14
Slycopersicum,Unmethylated,OG0000018,12
Slycopersicum,Unmethylated,OG0000025,12
Slycopersicum,Unmethylated,OG0000027,13
Slycopersicum,Unmethylated,OG0000071,12
Slycopersicum,Unmethylated,OG0000155,14
Slycopersicum,Unmethylated,OG0000195,12
Slycopersicum,Unmethylated,OG0000383,12
Slycopersicum,Unclassified,OG0000000,11
Slycopersicum,Unclassified,OG0000021,24
Slycopersicum,Unclassified,OG0000074,12
Slycopersicum,Unclassified,OG0000089,12
Slycopersicum,Unclassified,OG0000190,16
Slycopersicum,Missing,OG0000059,10
Slycopersicum,Missing,OG0000089,7
Slycopersicum,Missing,OG0000234,9
Slycopersicum,Missing,OG0003842,14
Slycopersicum,Missing,OG0006916,7
Slycopersicum,Missing,OG0010496,9
Stuberosum,gbM,OG0000000,29
Stuberosum,gbM,OG0000003,25
Stuberosum,gbM,OG0000004,26
Stuberosum,gbM,OG0000013,27
Stuberosum,gbM,OG0000015,24
Stuberosum,gbM,OG0000024,24
Stuberosum,TE.like,OG0000179,277
Stuberosum,TE.like,OG0000237,308
Stuberosum,TE.like,OG0000296,276
Stuberosum,TE.like,OG0001613,129
Stuberosum,TE.like,OG0001658,118
Stuberosum,Unmethylated,OG0000000,22
Stuberosum,Unmethylated,OG0000002,20
Stuberosum,Unmethylated,OG0000018,17
Stuberosum,Unmethylated,OG0000020,18
Stuberosum,Unmethylated,OG0000085,19
Stuberosum,Unclassified,OG0000000,50
Stuberosum,Unclassified,OG0000002,30
Stuberosum,Unclassified,OG0000179,32
Stuberosum,Unclassified,OG0000190,28
Stuberosum,Unclassified,OG0000237,30
Stuberosum,Missing,OG0000179,327
Stuberosum,Missing,OG0000237,207
Stuberosum,Missing,OG0000296,174
Stuberosum,Missing,OG0001582,77
Stuberosum,Missing,OG0002227,86
Sviridis,gbM,OG0000008,15
Sviridis,gbM,OG0000012,12
Sviridis,gbM,OG0000039,24
Sviridis,gbM,OG0000145,10
Sviridis,gbM,OG0000276,10
Sviridis,TE.like,OG0000111,24
Sviridis,TE.like,OG0000351,26
Sviridis,TE.like,OG0001294,33
Sviridis,TE.like,OG0012578,28
Sviridis,TE.like,OG0013238,28
Sviridis,Unmethylated,OG0000001,36
Sviridis,Unmethylated,OG0000002,74
Sviridis,Unmethylated,OG0000011,72
Sviridis,Unmethylated,OG0000015,36
Sviridis,Unmethylated,OG0000034,34
Sviridis,Unmethylated,OG0000284,34
Sviridis,Unclassified,OG0000013,17
Sviridis,Unclassified,OG0000047,17
Sviridis,Unclassified,OG0000440,19
Sviridis,Unclassified,OG0001294,17
Sviridis,Unclassified,OG0011204,31
Sviridis,Unclassified,OG0015099,18
Sviridis,Missing,OG0000494,9
Sviridis,Missing,OG0011611,11
Sviridis,Missing,OG0013049,11
Sviridis,Missing,OG0014574,11
Sviridis,Missing,OG0015563,9
Sviridis,Missing,OG0018987,10
Tcacao,gbM,OG0000019,8
Tcacao,gbM,OG0000031,9
Tcacao,gbM,OG0000039,17
Tcacao,gbM,OG0000084,14
Tcacao,gbM,OG0000271,9
Tcacao,TE.like,OG0000022,24
Tcacao,TE.like,OG0000030,69
Tcacao,TE.like,OG0000836,47
Tcacao,TE.like,OG0003705,57
Tcacao,TE.like,OG0005131,32
Tcacao,Unmethylated,OG0000001,63
Tcacao,Unmethylated,OG0000004,56
Tcacao,Unmethylated,OG0000014,70
Tcacao,Unmethylated,OG0000030,88
Tcacao,Unmethylated,OG0000836,132
Tcacao,Unclassified,OG0000030,36
Tcacao,Unclassified,OG0000084,44
Tcacao,Unclassified,OG0000836,58
Tcacao,Unclassified,OG0005131,39
Tcacao,Unclassified,OG0009066,43
Tcacao,Missing,OG0000099,52
Tcacao,Missing,OG0000535,32
Tcacao,Missing,OG0002327,30
Tcacao,Missing,OG0003179,57
Tcacao,Missing,OG0003326,56
Vvinifera,gbM,OG0000006,18
Vvinifera,gbM,OG0000013,27
Vvinifera,gbM,OG0000019,24
Vvinifera,gbM,OG0000031,28
Vvinifera,gbM,OG0000039,16
Vvinifera,TE.like,OG0000004,19
Vvinifera,TE.like,OG0000005,19
Vvinifera,TE.like,OG0000010,23
Vvinifera,TE.like,OG0000094,19
Vvinifera,TE.like,OG0000333,30
Vvinifera,Unmethylated,OG0000001,61
Vvinifera,Unmethylated,OG0000005,39
Vvinifera,Unmethylated,OG0000006,44
Vvinifera,Unmethylated,OG0000048,46
Vvinifera,Unmethylated,OG0000094,37
Vvinifera,Unclassified,OG0000004,20
Vvinifera,Unclassified,OG0000005,29
Vvinifera,Unclassified,OG0000006,30
Vvinifera,Unclassified,OG0000010,17
Vvinifera,Unclassified,OG0000056,16
Vvinifera,Unclassified,OG0010638,16
Vvinifera,Missing,OG0000005,45
Vvinifera,Missing,OG0000010,30
Vvinifera,Missing,OG0000033,19
Vvinifera,Missing,OG0000227,16
Vvinifera,Missing,OG0010638,20
Zmays,gbM,OG0000039,12
Zmays,gbM,OG0000371,17
Zmays,gbM,OG0005701,12
Zmays,gbM,OG0005828,13
Zmays,gbM,OG0013120,13
Zmays,TE.like,OG0000371,295
Zmays,TE.like,OG0000467,49
Zmays,TE.like,OG0003262,50
Zmays,TE.like,OG0006587,58
Zmays,TE.like,OG0006915,71
Zmays,Unmethylated,OG0000001,58
Zmays,Unmethylated,OG0000002,49
Zmays,Unmethylated,OG0000015,31
Zmays,Unmethylated,OG0000020,36
Zmays,Unmethylated,OG0000027,35
Zmays,Unclassified,OG0000103,19
Zmays,Unclassified,OG0000371,56
Zmays,Unclassified,OG0003262,41
Zmays,Unclassified,OG0005701,23
Zmays,Unclassified,OG0008005,19
Zmays,Missing,OG0000371,36
Zmays,Missing,OG0003262,20
Zmays,Missing,OG0005701,22
Zmays,Missing,OG0005828,15
Zmays,Missing,OG0010756,45
