Species,Duplication,Similarity,Number,PhyloOrder
Osativa,dispersed,Different,961,4
Osativa,proximal,Different,332,4
Osativa,tandem,Different,358,4
Osativa,transposed,Different,581,4
Osativa,wgd,Different,384,4
Osativa,dispersed,Same,2497,4
Osativa,proximal,Same,1029,4
Osativa,tandem,Same,1345,4
Osativa,transposed,Same,2009,4
Osativa,wgd,Same,2202,4
Osativa,dispersed,Undetermined,962,4
Osativa,proximal,Undetermined,361,4
Osativa,tandem,Undetermined,407,4
Osativa,transposed,Undetermined,587,4
Osativa,wgd,Undetermined,741,4
