Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Boleracea,gbM,0,gbM-gbM,22,0.0909090909090909
Boleracea,gbM,1,gbM-gbM,220,0.909090909090909
Boleracea,gbM,0,gbM-teM,18,0.0487804878048781
Boleracea,teM,0,gbM-teM,13,0.0304449648711944
Boleracea,gbM,1,gbM-teM,351,0.951219512195122
Boleracea,teM,1,gbM-teM,414,0.969555035128806
Boleracea,gbM,0,gbM-unM,56,0.0860215053763441
Boleracea,unM,0,gbM-unM,43,0.0616045845272206
Boleracea,gbM,1,gbM-unM,595,0.913978494623656
Boleracea,unM,1,gbM-unM,655,0.938395415472779
Boleracea,teM,0,teM-teM,223,0.0186532831451276
Boleracea,teM,1,teM-teM,11732,0.981346716854872
Boleracea,unM,0,unM-teM,89,0.0481081081081081
Boleracea,teM,0,unM-teM,51,0.0271855010660981
Boleracea,unM,1,unM-teM,1761,0.951891891891892
Boleracea,teM,1,unM-teM,1825,0.972814498933902
Boleracea,unM,0,unM-unM,1066,0.0506605835947153
Boleracea,unM,1,unM-unM,19976,0.949339416405285
