Species,Duplication,Similarity,Number,PhyloOrder
Boleracea,dispersed,Different,485,23
Boleracea,proximal,Different,250,23
Boleracea,tandem,Different,202,23
Boleracea,transposed,Different,953,23
Boleracea,wgd,Different,1272,23
Boleracea,dispersed,Same,1980,23
Boleracea,proximal,Same,904,23
Boleracea,tandem,Same,1025,23
Boleracea,transposed,Same,5066,23
Boleracea,wgd,Same,11622,23
Boleracea,dispersed,Undetermined,915,23
Boleracea,proximal,Undetermined,441,23
Boleracea,tandem,Undetermined,452,23
Boleracea,transposed,Undetermined,1689,23
Boleracea,wgd,Undetermined,4924,23
