Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Esalsugineum,gbM,0,gbM-gbM,0,0
Esalsugineum,gbM,1,gbM-gbM,3,1
Esalsugineum,gbM,0,gbM-teM,2,0.111111111111111
Esalsugineum,teM,0,gbM-teM,0,0
Esalsugineum,gbM,1,gbM-teM,16,0.888888888888889
Esalsugineum,teM,1,gbM-teM,21,1
Esalsugineum,gbM,0,gbM-unM,2,0.166666666666667
Esalsugineum,unM,0,gbM-unM,5,0.357142857142857
Esalsugineum,gbM,1,gbM-unM,10,0.833333333333333
Esalsugineum,unM,1,gbM-unM,9,0.642857142857143
Esalsugineum,teM,0,teM-teM,189,0.161815068493151
Esalsugineum,teM,1,teM-teM,979,0.838184931506849
Esalsugineum,unM,0,unM-teM,209,0.333333333333333
Esalsugineum,teM,0,unM-teM,79,0.129508196721311
Esalsugineum,unM,1,unM-teM,418,0.666666666666667
Esalsugineum,teM,1,unM-teM,531,0.870491803278688
Esalsugineum,unM,0,unM-unM,7063,0.468586213759703
Esalsugineum,unM,1,unM-unM,8010,0.531413786240297
