Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Atrichopoda,gbM,0,gbM-gbM,4,0.010840108401084
Atrichopoda,gbM,1,gbM-gbM,365,0.989159891598916
Atrichopoda,gbM,0,gbM-teM,2,0.0194174757281553
Atrichopoda,teM,0,gbM-teM,1,0.0087719298245614
Atrichopoda,gbM,1,gbM-teM,101,0.980582524271845
Atrichopoda,teM,1,gbM-teM,113,0.991228070175439
Atrichopoda,gbM,0,gbM-unM,4,0.0261437908496732
Atrichopoda,unM,0,gbM-unM,2,0.0125
Atrichopoda,gbM,1,gbM-unM,149,0.973856209150327
Atrichopoda,unM,1,gbM-unM,158,0.9875
Atrichopoda,teM,0,teM-teM,51,0.021973287376131
Atrichopoda,teM,1,teM-teM,2270,0.978026712623869
Atrichopoda,unM,0,unM-teM,3,0.0194805194805195
Atrichopoda,teM,0,unM-teM,4,0.0251572327044025
Atrichopoda,unM,1,unM-teM,151,0.980519480519481
Atrichopoda,teM,1,unM-teM,155,0.974842767295597
Atrichopoda,unM,0,unM-unM,5,0.00712250712250712
Atrichopoda,unM,1,unM-unM,697,0.992877492877493
