Species,Methylation,TE_Presence,Duplicate_Methylation,Gene_Count,Gene_Percent
Tcacao,gbM,0,gbM-gbM,280,0.329411764705882
Tcacao,gbM,1,gbM-gbM,570,0.670588235294118
Tcacao,gbM,0,gbM-teM,5,0.102040816326531
Tcacao,teM,0,gbM-teM,1,0.0175438596491228
Tcacao,gbM,1,gbM-teM,44,0.897959183673469
Tcacao,teM,1,gbM-teM,56,0.982456140350877
Tcacao,gbM,0,gbM-unM,176,0.327746741154562
Tcacao,unM,0,gbM-unM,179,0.313485113835377
Tcacao,gbM,1,gbM-unM,361,0.672253258845438
Tcacao,unM,1,gbM-unM,392,0.686514886164623
Tcacao,teM,0,teM-teM,18,0.0234680573663625
Tcacao,teM,1,teM-teM,749,0.976531942633638
Tcacao,unM,0,unM-teM,36,0.0837209302325581
Tcacao,teM,0,unM-teM,10,0.0288184438040346
Tcacao,unM,1,unM-teM,394,0.916279069767442
Tcacao,teM,1,unM-teM,337,0.971181556195965
Tcacao,unM,0,unM-unM,2365,0.293861829025845
Tcacao,unM,1,unM-unM,5683,0.706138170974155
