Species,Duplication,Classification,Number,PhyloOrder
Pvirgatum,dispersed,gbM-gbM,35,10
Pvirgatum,proximal,gbM-gbM,22,10
Pvirgatum,tandem,gbM-gbM,43,10
Pvirgatum,transposed,gbM-gbM,83,10
Pvirgatum,wgd,gbM-gbM,1315,10
Pvirgatum,dispersed,gbM-teM,107,10
Pvirgatum,proximal,gbM-teM,21,10
Pvirgatum,tandem,gbM-teM,16,10
Pvirgatum,transposed,gbM-teM,121,10
Pvirgatum,wgd,gbM-teM,60,10
Pvirgatum,dispersed,gbM-Unclassified,109,10
Pvirgatum,proximal,gbM-Unclassified,65,10
Pvirgatum,tandem,gbM-Unclassified,90,10
Pvirgatum,transposed,gbM-Unclassified,297,10
Pvirgatum,wgd,gbM-Unclassified,1653,10
Pvirgatum,dispersed,gbM-unM,107,10
Pvirgatum,proximal,gbM-unM,103,10
Pvirgatum,tandem,gbM-unM,117,10
Pvirgatum,transposed,gbM-unM,322,10
Pvirgatum,wgd,gbM-unM,522,10
Pvirgatum,dispersed,teM-teM,1081,10
Pvirgatum,proximal,teM-teM,60,10
Pvirgatum,tandem,teM-teM,67,10
Pvirgatum,transposed,teM-teM,507,10
Pvirgatum,wgd,teM-teM,172,10
Pvirgatum,dispersed,teM-Unclassified,340,10
Pvirgatum,proximal,teM-Unclassified,45,10
Pvirgatum,tandem,teM-Unclassified,38,10
Pvirgatum,transposed,teM-Unclassified,436,10
Pvirgatum,wgd,teM-Unclassified,191,10
Pvirgatum,dispersed,Unclassified-Unclassified,120,10
Pvirgatum,proximal,Unclassified-Unclassified,101,10
Pvirgatum,tandem,Unclassified-Unclassified,102,10
Pvirgatum,transposed,Unclassified-Unclassified,335,10
Pvirgatum,wgd,Unclassified-Unclassified,3822,10
Pvirgatum,dispersed,unM-teM,362,10
Pvirgatum,proximal,unM-teM,115,10
Pvirgatum,tandem,unM-teM,119,10
Pvirgatum,transposed,unM-teM,295,10
Pvirgatum,wgd,unM-teM,313,10
Pvirgatum,dispersed,unM-Unclassified,288,10
Pvirgatum,proximal,unM-Unclassified,293,10
Pvirgatum,tandem,unM-Unclassified,384,10
Pvirgatum,transposed,unM-Unclassified,728,10
Pvirgatum,wgd,unM-Unclassified,2871,10
Pvirgatum,dispersed,unM-unM,686,10
Pvirgatum,proximal,unM-unM,1039,10
Pvirgatum,tandem,unM-unM,1659,10
Pvirgatum,transposed,unM-unM,1759,10
Pvirgatum,wgd,unM-unM,9449,10
