,tau,Feature
AT4G16520,0.180184766860167,AT4G16520
AT4G16530,0.873813044195516,AT4G16530
AT4G16535,0.306019092577785,AT4G16535
AT4G16540,0.464006703056052,AT4G16540
AT4G16545,0.774784207422666,AT4G16545
AT4G16550,0.980154507219909,AT4G16550
AT4G16555,0.921497439067454,AT4G16555
AT4G16560,0.931984021108036,AT4G16560
AT4G16563,0.444451500462381,AT4G16563
AT4G16566,0.186559331040664,AT4G16566
AT4G16570,0.136671779611172,AT4G16570
AT4G16580,0.337095508774027,AT4G16580
AT4G16590,0.541053741515834,AT4G16590
AT4G16600,0.590491987151796,AT4G16600
AT4G16610,0.394136207230055,AT4G16610
AT4G16620,0.547414234869964,AT4G16620
AT4G16630,0.165481487861984,AT4G16630
AT4G16640,0.690880353837973,AT4G16640
AT4G16650,0.0865725815014402,AT4G16650
AT4G16660,0.123749077644642,AT4G16660
AT4G16670,0.389710898328634,AT4G16670
AT4G16680,0.501451625230622,AT4G16680
AT4G16690,0.391687640400258,AT4G16690
AT4G16695,0.251043601445497,AT4G16695
AT4G16700,0.261254880351118,AT4G16700
AT4G16710,0.13594401314649,AT4G16710
AT4G16720,0.192879682459374,AT4G16720
AT4G16730,0.828494157673364,AT4G16730
AT4G16740,0.730473781308652,AT4G16740
AT4G16745,0.581109654329161,AT4G16745
AT4G16750,0.409662101829405,AT4G16750
AT4G16760,0.224445836661215,AT4G16760
AT4G16765,0.226317294757487,AT4G16765
AT4G16770,0.241506468857047,AT4G16770
AT4G16780,0.268244509791932,AT4G16780
AT4G16790,0.299409553524097,AT4G16790
AT4G16800,0.12845367674408,AT4G16800
AT4G16807,0.323189703283548,AT4G16807
AT4G16810,0.780510547433341,AT4G16810
AT4G16820,0.624160381336365,AT4G16820
AT4G16830,0.241557038114486,AT4G16830
AT4G16835,0.208636955003752,AT4G16835
AT4G16840,0.188934271317911,AT4G16840
AT4G16845,0.109168537199491,AT4G16845
AT4G16850,0.203177171885473,AT4G16850
AT4G16855,0.801853467038591,AT4G16855
AT4G16857,0.354509540792538,AT4G16857
AT4G16860,0.320421293456905,AT4G16860
AT4G16880,0.402859085109001,AT4G16880
AT4G16890,0.215024448295874,AT4G16890
AT4G16900,0.140792516677857,AT4G16900
AT4G16915,0.951515428595809,AT4G16915
AT4G16920,0.373279124821563,AT4G16920
AT4G16930,0.867261884284162,AT4G16930
AT4G16940,0.386671553076903,AT4G16940
AT4G16950,0.259025500852404,AT4G16950
AT4G16955,NA,AT4G16955
AT4G16957,0.350462086655245,AT4G16957
AT4G16960,0.383807961297501,AT4G16960
AT4G16970,0.277678169073039,AT4G16970
AT4G16980,0.696169633271643,AT4G16980
AT4G16983,NA,AT4G16983
AT4G16990,0.337612051142933,AT4G16990
AT4G17000,0.350461843708982,AT4G17000
AT4G17010,0.210787085324019,AT4G17010
AT4G17020,0.0715164319548862,AT4G17020
AT4G17030,0.464765358674206,AT4G17030
AT4G17040,0.112057420024032,AT4G17040
AT4G17050,0.126476859319399,AT4G17050
AT4G17060,0.208572575891631,AT4G17060
AT4G17070,0.259487498232733,AT4G17070
AT4G17080,0.117463330477581,AT4G17080
AT4G17085,0.288907307785069,AT4G17085
AT4G17090,0.370684452367341,AT4G17090
AT4G17100,0.15223158145084,AT4G17100
AT4G17140,0.173871036902791,AT4G17140
AT4G17150,0.113265087456169,AT4G17150
AT4G17160,0.755401486126856,AT4G17160
AT4G17170,0.272221874376973,AT4G17170
AT4G17180,0.265328985733235,AT4G17180
AT4G17190,0.199613186794064,AT4G17190
AT4G17200,0.926185078659874,AT4G17200
AT4G17210,0.862976856986495,AT4G17210
AT4G17215,0.664011762403264,AT4G17215
AT4G17220,0.565329423933562,AT4G17220
AT4G17230,0.216544013717896,AT4G17230
AT4G17240,0.301262795630989,AT4G17240
AT4G17243,0.826692116906546,AT4G17243
AT4G17245,0.455286722472585,AT4G17245
AT4G17250,0.511674814106909,AT4G17250
AT4G17260,0.218856450535362,AT4G17260
AT4G17270,0.0844890045021064,AT4G17270
AT4G17280,0.448782772638188,AT4G17280
AT4G17300,0.175133534716835,AT4G17300
AT4G17310,0.131107874580837,AT4G17310
AT4G17330,0.126797992203867,AT4G17330
AT4G17340,0.443954068400383,AT4G17340
AT4G17350,0.235640632964564,AT4G17350
AT4G17360,0.323497082835444,AT4G17360
AT4G17370,0.35706944385749,AT4G17370
AT4G17380,0.446186772162476,AT4G17380
AT4G17390,0.181698308681842,AT4G17390
AT4G17410,0.225576449993459,AT4G17410
AT4G17420,0.205852521299993,AT4G17420
AT4G17430,0.16756720437403,AT4G17430
AT4G17440,0.220089468077261,AT4G17440
AT4G17460,0.258150030155898,AT4G17460
AT4G17470,0.627182286217266,AT4G17470
AT4G17480,0.523907181390542,AT4G17480
AT4G17483,0.521734348566615,AT4G17483
AT4G17486,0.174664833128744,AT4G17486
AT4G17490,0.355627758160571,AT4G17490
AT4G17500,0.357147288903669,AT4G17500
AT4G17505,0.804475905009741,AT4G17505
AT4G17510,0.16564150097917,AT4G17510
AT4G17520,0.111996399228725,AT4G17520
AT4G17530,0.256361142354425,AT4G17530
AT4G17540,0.195270695125493,AT4G17540
AT4G17550,0.338630222027898,AT4G17550
AT4G17560,0.198881854244344,AT4G17560
AT4G17565,0.801721543315909,AT4G17565
AT4G17570,0.181287404948462,AT4G17570
AT4G17580,0.926139039054292,AT4G17580
AT4G17585,0.965684689506873,AT4G17585
AT4G17590,0.961725881510782,AT4G17590
AT4G17600,0.214603226645209,AT4G17600
AT4G17610,0.204069978120036,AT4G17610
AT4G17615,0.256550554549513,AT4G17615
AT4G17616,0.102728237695457,AT4G17616
AT4G17620,0.123739595370454,AT4G17620
AT4G17640,0.199080329687303,AT4G17640
AT4G17650,0.2805552565694,AT4G17650
AT4G17660,0.660686261576097,AT4G17660
AT4G17670,0.243421919113473,AT4G17670
AT4G17680,0.447374628708087,AT4G17680
AT4G17690,0.915032927270366,AT4G17690
AT4G17695,0.34564548478358,AT4G17695
AT4G17700,0.921514713972832,AT4G17700
AT4G17710,0.732074973064183,AT4G17710
AT4G17713,0.889193932295035,AT4G17713
AT4G17718,0.88387903986817,AT4G17718
AT4G17720,0.260340553088615,AT4G17720
AT4G17730,0.170274329458985,AT4G17730
AT4G17740,0.170392722423946,AT4G17740
AT4G17750,0.222952590675997,AT4G17750
AT4G17760,0.365159627467001,AT4G17760
AT4G17770,0.14739325625445,AT4G17770
AT4G17780,0.865061686990861,AT4G17780
AT4G17785,0.923264523780381,AT4G17785
AT4G17790,0.44633580891107,AT4G17790
AT4G17800,0.710282248225153,AT4G17800
AT4G17810,0.560004928725388,AT4G17810
AT4G17830,0.130790528240899,AT4G17830
AT4G17840,0.32611013039666,AT4G17840
AT4G17850,0.932283934646419,AT4G17850
AT4G17860,0.753644231810848,AT4G17860
AT4G17870,0.286059944081541,AT4G17870
AT4G17880,0.23755484583069,AT4G17880
AT4G17890,0.155221539451046,AT4G17890
AT4G17895,0.178214135813428,AT4G17895
AT4G17900,0.24874438480338,AT4G17900
AT4G17905,0.299573158556688,AT4G17905
AT4G17910,0.101534420350174,AT4G17910
AT4G17920,0.85985952447011,AT4G17920
AT4G17940,0.28073556920086,AT4G17940
AT4G17950,0.213217968125123,AT4G17950
AT4G17960,0.107150643855588,AT4G17960
AT4G17970,0.445840851410753,AT4G17970
AT4G17980,0.820113487494136,AT4G17980
AT4G17990,0.896206222504726,AT4G17990
AT4G18010,0.3161201305635,AT4G18010
AT4G18020,0.130856780095641,AT4G18020
AT4G18030,0.149591667009869,AT4G18030
AT4G18040,0.136574361922481,AT4G18040
AT4G18050,0.392127097700794,AT4G18050
AT4G18060,0.119175017352304,AT4G18060
AT4G18070,0.238698086108575,AT4G18070
AT4G18080,0.739892168813436,AT4G18080
AT4G18090,0.733864092746131,AT4G18090
AT4G18100,0.215916705475953,AT4G18100
AT4G18110,0.935190789973906,AT4G18110
AT4G18130,0.23352501349853,AT4G18130
AT4G18140,0.27247611021746,AT4G18140
AT4G18150,0.755711614978234,AT4G18150
AT4G18160,0.303001654461422,AT4G18160
AT4G18170,0.535317101151493,AT4G18170
AT4G18180,0.881329342581462,AT4G18180
AT4G18190,0.863843067497948,AT4G18190
AT4G18195,0.61062306224242,AT4G18195
AT4G18197,0.457219778673163,AT4G18197
AT4G18203,0.948851666376223,AT4G18203
AT4G18205,0.462124568375248,AT4G18205
AT4G18210,0.389470872160103,AT4G18210
AT4G18215,0.875530217304407,AT4G18215
AT4G18220,0.379203411617915,AT4G18220
AT4G18230,0.155561020492177,AT4G18230
AT4G18240,0.150693435593919,AT4G18240
AT4G18250,0.750538879462784,AT4G18250
AT4G18253,0.653073332816703,AT4G18253
AT4G18260,0.576187027062687,AT4G18260
AT4G18270,0.244052736817999,AT4G18270
AT4G18280,0.400637416402164,AT4G18280
AT4G18290,0.421366081461322,AT4G18290
AT4G18300,0.189517526925897,AT4G18300
AT4G18310,0.865737996720571,AT4G18310
AT4G18320,0.856120086627744,AT4G18320
AT4G18330,0.672334714050315,AT4G18330
AT4G18335,0.905361248171767,AT4G18335
AT4G18340,0.338611978009288,AT4G18340
AT4G18350,0.775440240552966,AT4G18350
AT4G18360,0.458729031545791,AT4G18360
AT4G18370,0.215306918305578,AT4G18370
AT4G18372,0.234205318607111,AT4G18372
AT4G18375,0.127383179957881,AT4G18375
AT4G18380,0.269474258206217,AT4G18380
AT4G18390,0.28164988670867,AT4G18390
AT4G18395,0.819923690096204,AT4G18395
AT4G18400,0.297327973767707,AT4G18400
AT4G18422,0.793152077205362,AT4G18422
AT4G18425,0.644438959213115,AT4G18425
AT4G18430,0.696725110888627,AT4G18430
AT4G18440,0.350176094703535,AT4G18440
AT4G18450,0.906960315147248,AT4G18450
AT4G18470,0.263353087685008,AT4G18470
AT4G18460,0.214685469849809,AT4G18460
AT4G18465,0.141679475691859,AT4G18465
AT4G18480,0.19778765027586,AT4G18480
AT4G18490,0.354076725373088,AT4G18490
AT4G18500,0.870220017627539,AT4G18500
AT4G18501,0.537411547062373,AT4G18501
AT4G18510,0.847489315161504,AT4G18510
AT4G18520,0.210924796070714,AT4G18520
AT4G18530,0.285454227448796,AT4G18530
AT4G18540,0.851939162946622,AT4G18540
AT4G18550,0.573535044658545,AT4G18550
AT4G18570,0.251612355638617,AT4G18570
AT4G18580,0.35290426880234,AT4G18580
AT4G18590,0.1666383542644,AT4G18590
AT4G18593,0.1513313045418,AT4G18593
AT4G18596,0.760038396657194,AT4G18596
AT4G18600,0.106499727496941,AT4G18600
AT4G18610,0.629791204006477,AT4G18610
AT4G18620,0.928766939452998,AT4G18620
AT4G18630,0.444666663512411,AT4G18630
AT4G18640,0.511778389236993,AT4G18640
AT4G18650,0.885623588573954,AT4G18650
AT4G18660,0.918698644290377,AT4G18660
AT4G18670,0.199951029670135,AT4G18670
AT4G18680,0.896153601751459,AT4G18680
AT4G18690,0.924927480923316,AT4G18690
AT4G18692,0.947919322099684,AT4G18692
AT4G18700,0.439043545173072,AT4G18700
AT4G18710,0.113347330833577,AT4G18710
AT4G18720,0.914931852472642,AT4G18720
AT4G18730,0.234615049080344,AT4G18730
AT4G18740,0.355167705135902,AT4G18740
AT4G18750,0.27944057113149,AT4G18750
AT4G18760,0.324442460363481,AT4G18760
AT4G18770,0.816945911663587,AT4G18770
AT4G18780,0.434229711085075,AT4G18780
AT4G18790,0.863972944617358,AT4G18790
AT4G18800,0.173561852474706,AT4G18800
AT4G18810,0.250894773759071,AT4G18810
AT4G18820,0.164788388169262,AT4G18820
AT4G18823,0.888338457787294,AT4G18823
AT4G18830,0.497025180771413,AT4G18830
AT4G18840,0.194175883149554,AT4G18840
AT4G18860,0.875952041039668,AT4G18860
AT4G18870,0.673701861946515,AT4G18870
AT4G18880,0.36740405724686,AT4G18880
AT4G18890,0.217978746364336,AT4G18890
AT4G18900,0.755364794446142,AT4G18900
AT4G18905,0.197792173134123,AT4G18905
AT4G18910,0.222168223763796,AT4G18910
AT4G18920,0.843319292712803,AT4G18920
AT4G18930,0.244754666170935,AT4G18930
AT4G18940,0.883800002257066,AT4G18940
AT4G18950,0.230053663277373,AT4G18950
AT4G18960,0.490925263908999,AT4G18960
AT4G18970,0.288606202656252,AT4G18970
AT4G18975,0.17502783993163,AT4G18975
AT4G18980,0.653468160935674,AT4G18980
AT4G18990,0.695391009541075,AT4G18990
AT4G19000,0.883952319620703,AT4G19000
AT4G19003,0.121518508741429,AT4G19003
AT4G19006,0.160011082616587,AT4G19006
AT4G19010,0.157384984294511,AT4G19010
AT4G19020,0.158095830814934,AT4G19020
AT4G19030,0.785703684037307,AT4G19030
AT4G19035,0.844087001209014,AT4G19035
AT4G19038,0.868293510891603,AT4G19038
AT4G19040,0.305299024542224,AT4G19040
AT4G19045,0.257171249166548,AT4G19045
AT4G19050,0.380436137376074,AT4G19050
AT4G19060,0.171445818140379,AT4G19060
AT4G19070,0.13817709119292,AT4G19070
AT4G19080,0.393070320539553,AT4G19080
AT4G19090,0.304233779505538,AT4G19090
AT4G19095,0.427123093669409,AT4G19095
AT4G19100,0.214275643145449,AT4G19100
AT4G19110,0.267498689950121,AT4G19110
AT4G19120,0.348271247375128,AT4G19120
AT4G19130,0.427106905330089,AT4G19130
AT4G19140,0.136702041554009,AT4G19140
AT4G19150,0.174732108752132,AT4G19150
AT4G19160,0.167392206013014,AT4G19160
AT4G19170,0.364913084759707,AT4G19170
AT4G19180,0.25910748897741,AT4G19180
AT4G19185,0.307553365303388,AT4G19185
AT4G19190,0.182266222641475,AT4G19190
AT4G19191,0.264988458337348,AT4G19191
AT4G19200,0.193205252672437,AT4G19200
AT4G19210,0.128390925535293,AT4G19210
AT4G19220,0.313013112832121,AT4G19220
AT4G19230,0.42645338450127,AT4G19230
AT4G19240,0.859420920971144,AT4G19240
AT4G19250,0.990228244041859,AT4G19250
AT4G19260,0.980126789299214,AT4G19260
AT4G19270,0.941061393127413,AT4G19270
AT4G19275,0.972336858771232,AT4G19275
AT4G19330,0.992141899780713,AT4G19330
AT4G19340,0.979280373436892,AT4G19340
AT4G19350,0.109148870087615,AT4G19350
AT4G19360,0.942656815593297,AT4G19360
AT4G19370,0.628708872404368,AT4G19370
AT4G19380,0.427838696323068,AT4G19380
AT4G19390,0.40899333318309,AT4G19390
AT4G19400,0.463850458317469,AT4G19400
AT4G19410,0.170892949274603,AT4G19410
AT4G19420,0.330438226369783,AT4G19420
AT4G19430,0.679162664513428,AT4G19430
AT4G19440,0.184010206885165,AT4G19440
AT4G19450,0.190681381993659,AT4G19450
AT4G19460,0.478872816658216,AT4G19460
AT4G19470,0.841741762840392,AT4G19470
AT4G19480,1,AT4G19480
AT4G19485,0.978470137018323,AT4G19485
AT4G19490,0.0978694425305319,AT4G19490
AT4G19500,0.17835115846841,AT4G19500
AT4G19510,0.188052120913378,AT4G19510
AT4G19520,0.40674512717418,AT4G19520
AT4G19530,0.396019665629958,AT4G19530
AT4G19540,0.0997301702170243,AT4G19540
AT4G19550,0.266503391396198,AT4G19550
AT4G19560,0.348946182767593,AT4G19560
AT4G19570,0.767592825436557,AT4G19570
AT4G19580,0.902691914335207,AT4G19580
AT4G19590,0.407638917269864,AT4G19590
AT4G19600,0.233774044313737,AT4G19600
AT4G19610,0.0809059582442168,AT4G19610
AT4G19620,0.928127783676103,AT4G19620
AT4G19630,0.674458252449603,AT4G19630
AT4G19640,0.222716195920349,AT4G19640
AT4G19645,0.485751056605599,AT4G19645
AT4G19650,0.152533254956974,AT4G19650
AT4G19660,0.194830867196024,AT4G19660
AT4G19670,0.159521621055716,AT4G19670
AT4G19680,0.897783943990298,AT4G19680
AT4G19690,0.729767191369321,AT4G19690
AT4G19700,0.274857936617722,AT4G19700
AT4G19710,0.155571925971855,AT4G19710
AT4G19720,0.828618527588503,AT4G19720
AT4G19730,0.893164869266075,AT4G19730
AT4G19740,0.792164794587255,AT4G19740
AT4G19750,0.945315092468167,AT4G19750
AT4G19760,0.93749816690614,AT4G19760
AT4G19770,0.947046386139705,AT4G19770
AT4G19800,0.864714253063174,AT4G19800
AT4G19810,0.550366680766242,AT4G19810
AT4G19820,0.609635943827997,AT4G19820
AT4G19830,0.254168283278139,AT4G19830
AT4G19840,0.274540402848423,AT4G19840
AT4G19850,0.409135480367301,AT4G19850
AT4G19860,0.196750065912534,AT4G19860
AT4G19865,0.278058402808657,AT4G19865
AT4G19870,0.175187149714663,AT4G19870
AT4G19880,0.234009774660996,AT4G19880
AT4G19890,0.103190166706675,AT4G19890
AT4G19900,0.1281696229832,AT4G19900
AT4G19905,0.849343512703372,AT4G19905
AT4G19910,0.907825688338161,AT4G19910
AT4G19920,0.89510441320209,AT4G19920
AT4G19925,0.904885818428969,AT4G19925
AT4G19930,0.940895245056533,AT4G19930
AT4G19940,0.854956493354657,AT4G19940
AT4G19950,0.440611071801416,AT4G19950
AT4G19960,0.357000132127768,AT4G19960
AT4G19970,0.784656995369331,AT4G19970
AT4G19975,0.597251446138202,AT4G19975
AT4G19980,0.763895541287171,AT4G19980
AT4G19985,0.18459060356646,AT4G19985
AT4G19990,0.167964336824175,AT4G19990
AT4G20000,0.761942927702853,AT4G20000
AT4G20010,0.128175455585183,AT4G20010
AT4G20020,0.187737676961892,AT4G20020
AT4G20030,0.231036507685895,AT4G20030
AT4G20040,0.425872258927539,AT4G20040
AT4G20050,0.600615698619301,AT4G20050
AT4G20060,0.125441252492861,AT4G20060
AT4G20070,0.382554585381599,AT4G20070
AT4G20080,0.863357168607385,AT4G20080
AT4G20090,0.146688403785258,AT4G20090
AT4G20095,0.852536435249498,AT4G20095
AT4G20100,0.954551667334953,AT4G20100
AT4G20110,0.528435791866949,AT4G20110
AT4G20130,0.224368130346208,AT4G20130
AT4G20140,0.441222280046799,AT4G20140
AT4G20150,0.121540520682666,AT4G20150
AT4G20160,0.789656007641161,AT4G20160
AT4G20170,0.291565538422464,AT4G20170
AT4G20190,0.813287365690394,AT4G20190
AT4G20200,0.855384265661434,AT4G20200
AT4G20210,0.839058462987249,AT4G20210
AT4G20220,0.983492567309655,AT4G20220
AT4G20230,0.674243303492513,AT4G20230
AT4G20235,0.800883007087739,AT4G20235
AT4G20240,0.890096759719103,AT4G20240
AT4G20250,0.94008038645002,AT4G20250
AT4G20260,0.256776354756226,AT4G20260
AT4G20270,0.153654984079028,AT4G20270
AT4G20280,0.143876733723494,AT4G20280
AT4G20290,0.971984460923568,AT4G20290
AT4G20300,0.268010853403669,AT4G20300
AT4G20310,0.0943130769739365,AT4G20310
AT4G20320,0.326061093274279,AT4G20320
AT4G20325,0.263460683740967,AT4G20325
AT4G20330,0.227514213660761,AT4G20330
AT4G20340,0.310698778086729,AT4G20340
AT4G20350,0.299053410529501,AT4G20350
AT4G20360,0.16216344002314,AT4G20360
AT4G20370,0.766092872838991,AT4G20370
AT4G20380,0.387466284998759,AT4G20380
AT4G20390,0.557163406186568,AT4G20390
AT4G20400,0.077697291614326,AT4G20400
AT4G20410,0.169346816506932,AT4G20410
AT4G20430,0.287500437546264,AT4G20430
AT4G20420,NA,AT4G20420
AT4G20440,0.144551903612639,AT4G20440
AT4G20450,0.836302354076625,AT4G20450
AT4G20460,0.513660518691834,AT4G20460
AT4G20470,0.892566205195678,AT4G20470
AT4G20480,0.167594050700979,AT4G20480
AT4G20520,0.968399424064322,AT4G20520
AT4G20530,NA,AT4G20530
AT4G20535,NA,AT4G20535
AT4G20540,NA,AT4G20540
AT4G20545,NA,AT4G20545
AT4G20550,NA,AT4G20550
AT4G20555,NA,AT4G20555
AT4G20560,NA,AT4G20560
AT4G20565,NA,AT4G20565
AT4G20570,NA,AT4G20570
AT4G20575,NA,AT4G20575
AT4G20580,NA,AT4G20580
AT4G20590,NA,AT4G20590
AT4G20600,NA,AT4G20600
AT4G20610,NA,AT4G20610
AT4G20620,NA,AT4G20620
AT4G20630,NA,AT4G20630
AT4G20640,NA,AT4G20640
AT4G20645,NA,AT4G20645
AT4G20650,0.984027704667194,AT4G20650
AT4G20670,0.962764667308081,AT4G20670
AT4G20680,0.942095565438649,AT4G20680
AT4G20690,0.703480034850029,AT4G20690
AT4G20700,0.875941329487805,AT4G20700
AT4G20703,0.96930618606065,AT4G20703
AT4G20707,0.956342874757483,AT4G20707
AT4G20720,0.280926861418986,AT4G20720
AT4G20735,0.920688849138675,AT4G20735
AT4G20740,0.213848067741664,AT4G20740
AT4G20760,0.185154710740316,AT4G20760
AT4G20770,0.231498632565975,AT4G20770
AT4G20780,0.524066845853796,AT4G20780
AT4G20790,0.908807729417464,AT4G20790
AT4G20800,0.770803957381443,AT4G20800
AT4G20810,0.87809556667965,AT4G20810
AT4G20820,0.594380490725912,AT4G20820
AT4G20830,0.275319278073912,AT4G20830
AT4G20835,0.774602804912948,AT4G20835
AT4G20840,0.28553099717114,AT4G20840
AT4G20850,0.14659856972122,AT4G20850
AT4G20860,0.458071593678787,AT4G20860
AT4G20870,0.402449859501178,AT4G20870
AT4G20880,0.407406638838659,AT4G20880
AT4G20890,0.328391098504834,AT4G20890
AT4G20900,0.823853040385431,AT4G20900
AT4G20910,0.237711015109012,AT4G20910
AT4G20920,0.482610442206205,AT4G20920
AT4G20930,0.263035776927082,AT4G20930
AT4G20935,0.47081447397843,AT4G20935
AT4G20940,0.278467243211658,AT4G20940
AT4G20947,0.93603524404312,AT4G20947
AT4G20953,0.884988485939843,AT4G20953
AT4G20960,0.199151986025373,AT4G20960
AT4G20970,0.647450214684291,AT4G20970
AT4G20980,0.107031403694747,AT4G20980
AT4G20990,0.714619254467237,AT4G20990
AT4G21000,0.941980764562014,AT4G21000
AT4G21010,0.821399356045093,AT4G21010
AT4G21020,0.860701372978716,AT4G21020
AT4G21030,0.979322188163794,AT4G21030
AT4G21040,0.857424638030029,AT4G21040
AT4G21050,0.939976006339908,AT4G21050
AT4G21060,0.11092881320858,AT4G21060
AT4G21063,0.40927282950681,AT4G21063
AT4G21065,0.303422908945177,AT4G21065
AT4G21070,0.350248548454776,AT4G21070
AT4G21080,0.848708773966589,AT4G21080
AT4G21090,0.212055884708594,AT4G21090
AT4G21100,0.0844006518442132,AT4G21100
AT4G21105,0.127302788236018,AT4G21105
AT4G21110,0.143635489867759,AT4G21110
AT4G21120,0.490363502628942,AT4G21120
AT4G21130,0.898535378426494,AT4G21130
AT4G21140,0.238894988119754,AT4G21140
AT4G21150,0.138615627543655,AT4G21150
AT4G21160,0.258892306224227,AT4G21160
AT4G21170,0.159065958092025,AT4G21170
AT4G21180,0.171373589453081,AT4G21180
AT4G21190,0.236730682083676,AT4G21190
AT4G21192,0.128141439665024,AT4G21192
AT4G21200,0.62294033494079,AT4G21200
AT4G21210,0.207476077033492,AT4G21210
AT4G21213,0.900875999599307,AT4G21213
AT4G21215,0.312042966343758,AT4G21215
AT4G21220,0.268580206791217,AT4G21220
AT4G21230,0.609260141805863,AT4G21230
AT4G21240,0.936556124111875,AT4G21240
AT4G21250,0.877519741067302,AT4G21250
AT4G21260,0.946820697116416,AT4G21260
AT4G21270,0.306472195936761,AT4G21270
AT4G21280,0.227423800323056,AT4G21280
AT4G21300,0.220256487869681,AT4G21300
AT4G21310,0.327765602628659,AT4G21310
AT4G21320,0.556296738553447,AT4G21320
AT4G21323,0.489449401949186,AT4G21323
AT4G21326,0.421700756181722,AT4G21326
AT4G21330,0.944135547293869,AT4G21330
AT4G21340,0.928465949944165,AT4G21340
AT4G21350,0.219088940525368,AT4G21350
AT4G21366,0.970290326548972,AT4G21366
AT4G21380,0.397784216700494,AT4G21380
AT4G21390,0.554696788562469,AT4G21390
AT4G21400,0.330387275308908,AT4G21400
AT4G21410,0.291975342058489,AT4G21410
AT4G21430,0.112153638579485,AT4G21430
AT4G21440,0.576056483578438,AT4G21440
AT4G21445,0.312680918334147,AT4G21445
AT4G21450,0.206116093693544,AT4G21450
AT4G21460,0.089125464056986,AT4G21460
AT4G21470,0.237606814968714,AT4G21470
AT4G21480,0.47337712277796,AT4G21480
AT4G21490,0.729543229350134,AT4G21490
AT4G21500,0.383238596129977,AT4G21500
AT4G21510,0.270227754175256,AT4G21510
AT4G21515,NA,AT4G21515
AT4G21520,0.212337063799815,AT4G21520
AT4G21530,0.140002341295179,AT4G21530
AT4G21534,0.298556488474069,AT4G21534
AT4G21540,0.282338328122227,AT4G21540
AT4G21550,0.220608442857026,AT4G21550
AT4G21560,0.146772828620456,AT4G21560
AT4G21570,0.265371060389734,AT4G21570
AT4G21580,0.25003386541251,AT4G21580
AT4G21585,0.126767282897376,AT4G21585
AT4G21590,0.516244454442133,AT4G21590
AT4G21600,0.683273628444015,AT4G21600
AT4G21610,0.231783406156397,AT4G21610
AT4G21620,0.238331434553696,AT4G21620
AT4G21630,0.711569235386968,AT4G21630
AT4G21640,0.780026725438792,AT4G21640
AT4G21650,0.378943399734933,AT4G21650
AT4G21660,0.178760879908566,AT4G21660
AT4G21670,0.286412175625981,AT4G21670
AT4G21680,0.702570999557859,AT4G21680
AT4G21690,0.849247863635988,AT4G21690
AT4G21700,0.140289725301768,AT4G21700
AT4G21705,0.198832692107762,AT4G21705
AT4G21710,0.173574266592061,AT4G21710
AT4G21720,0.32760964645381,AT4G21720
AT4G21740,0.258839844417893,AT4G21740
AT4G21745,0.813207228728792,AT4G21745
AT4G21750,0.203158166254472,AT4G21750
AT4G21760,0.488766792272055,AT4G21760
AT4G21770,0.210508962029946,AT4G21770
AT4G21780,0.462426361991331,AT4G21780
AT4G21790,0.154808234337655,AT4G21790
AT4G21800,0.147223471303151,AT4G21800
AT4G21810,0.243866258456575,AT4G21810
AT4G21820,0.317942926041651,AT4G21820
AT4G21830,0.872614043084474,AT4G21830
AT4G21840,0.836921586035207,AT4G21840
AT4G21850,0.635970630925529,AT4G21850
AT4G21860,0.247752823482249,AT4G21860
AT4G21865,0.345707141137386,AT4G21865
AT4G21870,0.413361580129871,AT4G21870
AT4G21880,0.19828904697136,AT4G21880
AT4G21890,0.188168999050144,AT4G21890
AT4G21895,0.811282888978271,AT4G21895
AT4G21900,0.157433613050029,AT4G21900
AT4G21902,0.892979892895349,AT4G21902
AT4G21903,0.648769233705459,AT4G21903
AT4G21910,0.177786033696501,AT4G21910
AT4G21920,0.705418849680114,AT4G21920
AT4G21926,0.688171125437809,AT4G21926
AT4G21930,0.535245278505163,AT4G21930
AT4G21940,0.337208790500119,AT4G21940
AT4G21950,0.922816642216167,AT4G21950
AT4G21960,0.173673337156676,AT4G21960
AT4G21970,0.557857161559166,AT4G21970
AT4G21980,0.269418061274862,AT4G21980
AT4G21990,0.226107311253279,AT4G21990
AT4G22000,0.169703909755661,AT4G22000
AT4G22010,0.270041431952028,AT4G22010
AT4G22030,0.903946587404988,AT4G22030
AT4G22035,0.832482757663039,AT4G22035
AT4G22050,0.657064590922488,AT4G22050
AT4G22060,0.849714623020098,AT4G22060
AT4G22070,0.724787668119708,AT4G22070
AT4G22080,0.882383769712764,AT4G22080
AT4G22090,0.909018922384041,AT4G22090
AT4G22100,0.913476239297959,AT4G22100
AT4G22105,0.7413106752066,AT4G22105
AT4G22110,0.77387279180393,AT4G22110
AT4G22115,0.856255861844322,AT4G22115
AT4G22120,0.238212434146291,AT4G22120
AT4G22130,0.222901768355834,AT4G22130
AT4G22140,0.142453671778331,AT4G22140
AT4G22150,0.146689950091718,AT4G22150
AT4G22160,0.267904553763937,AT4G22160
AT4G22165,0.945579799736671,AT4G22165
AT4G22170,0.709809117216812,AT4G22170
AT4G22180,0.92327627222247,AT4G22180
AT4G22190,0.188949658567889,AT4G22190
AT4G22200,0.260811023612372,AT4G22200
AT4G22210,0.970952922466574,AT4G22210
AT4G22212,0.812593666488216,AT4G22212
AT4G22214,0.814435905296473,AT4G22214
AT4G22217,0.922899385624222,AT4G22217
