,tau,Feature
ATCG00790,0.386631299272262,ATCG00790
ATCG00800,0.414061514146063,ATCG00800
ATCG00810,0.453678310744188,ATCG00810
ATCG00820,0.583963084684116,ATCG00820
ATCG00830,0.986170422455123,ATCG00830
ATCG00840,NA,ATCG00840
ATCG00860,0.972326147297221,ATCG00860
ATCG00870,0.993674944537753,ATCG00870
ATCG00890,NA,ATCG00890
ATCG00900,0.993041332940564,ATCG00900
ATCG00905,1,ATCG00905
ATCG01000,1,ATCG01000
ATCG01010,0.495047461400394,ATCG01010
ATCG01020,0.318418792836032,ATCG01020
ATCG01040,0.53374735610132,ATCG01040
ATCG01050,0.358037319102291,ATCG01050
ATCG01060,0.451375053757464,ATCG01060
ATCG01070,0.541643388796086,ATCG01070
ATCG01080,0.512634605881969,ATCG01080
ATCG01090,0.532950632812627,ATCG01090
ATCG01100,0.457748746595939,ATCG01100
ATCG01110,0.489618828240921,ATCG01110
ATCG01120,0.650298314725936,ATCG01120
ATCG01130,0.419380737972135,ATCG01130
ATCG01230,NA,ATCG01230
ATCG01240,1,ATCG01240
ATCG01250,0.933781146065362,ATCG01250
ATCG01270,NA,ATCG01270
ATCG01280,1,ATCG01280
ATCG01300,NA,ATCG01300
ATCG01310,NA,ATCG01310
AT2G01008,0.508913902264665,AT2G01008
AT2G01021,0.93499477588715,AT2G01021
AT2G01023,0.991749165792979,AT2G01023
AT2G01035,NA,AT2G01035
AT2G01045,NA,AT2G01045
AT2G01050,0.73343083785833,AT2G01050
AT2G01060,0.0968269032859186,AT2G01060
AT2G01070,0.16183866078499,AT2G01070
AT2G01080,0.179629494117639,AT2G01080
AT2G01090,0.152948904311245,AT2G01090
AT2G01100,0.210285137989368,AT2G01100
AT2G01110,0.168904162151634,AT2G01110
AT2G01120,0.193909433359382,AT2G01120
AT2G01130,0.105820266585693,AT2G01130
AT2G01140,0.115687660747311,AT2G01140
AT2G01150,0.22521777854005,AT2G01150
AT2G01170,0.174546321761104,AT2G01170
AT2G01175,0.405495047796937,AT2G01175
AT2G01180,0.288805329932258,AT2G01180
AT2G01190,0.236848863879961,AT2G01190
AT2G01200,0.477425648232666,AT2G01200
AT2G01210,0.325714572904313,AT2G01210
AT2G01220,0.166702937165332,AT2G01220
AT2G01240,0.862536343585368,AT2G01240
AT2G01250,0.167221301511788,AT2G01250
AT2G01260,0.361727151755137,AT2G01260
AT2G01270,0.151429518797752,AT2G01270
AT2G01275,0.640616153496425,AT2G01275
AT2G01280,0.771694288783936,AT2G01280
AT2G01290,0.243804147836389,AT2G01290
AT2G01300,0.610507635668551,AT2G01300
AT2G01310,0.808154048901472,AT2G01310
AT2G01320,0.1696836072689,AT2G01320
AT2G01330,0.44229349895875,AT2G01330
AT2G01340,0.515565954702948,AT2G01340
AT2G01350,0.122054752624494,AT2G01350
AT2G01360,0.938555966262008,AT2G01360
AT2G01370,0.914334532043331,AT2G01370
AT2G01379,0.961727667817882,AT2G01379
AT2G01390,0.305507482797072,AT2G01390
AT2G01400,0.202213398587056,AT2G01400
AT2G01410,0.193931678422459,AT2G01410
AT2G01420,0.227111824349234,AT2G01420
AT2G01430,0.541608163371441,AT2G01430
AT2G01440,0.119235069633823,AT2G01440
AT2G01450,0.275536161815469,AT2G01450
AT2G01460,0.322301429018724,AT2G01460
AT2G01470,0.128241823599226,AT2G01470
AT2G01480,0.318458599038968,AT2G01480
AT2G01490,0.240734457568458,AT2G01490
AT2G01500,0.884667074340219,AT2G01500
AT2G01505,0.286750605794449,AT2G01505
AT2G01510,0.255533405795159,AT2G01510
AT2G01520,0.597083084379641,AT2G01520
AT2G01530,0.86210404935287,AT2G01530
AT2G01540,0.378264867828981,AT2G01540
AT2G01554,0.916606047793531,AT2G01554
AT2G01560,0.873364856997355,AT2G01560
AT2G01570,0.11793438886566,AT2G01570
AT2G01580,0.76455058895952,AT2G01580
AT2G01590,0.290511223378251,AT2G01590
AT2G01600,0.193252912147336,AT2G01600
AT2G01610,0.424102550230083,AT2G01610
AT2G01620,0.197870814400577,AT2G01620
AT2G01630,0.160095709599734,AT2G01630
AT2G01640,0.2294196540579,AT2G01640
AT2G01650,0.20637599375235,AT2G01650
AT2G01660,0.399589246773501,AT2G01660
AT2G01667,0.857201539708563,AT2G01667
AT2G01670,0.245982102910767,AT2G01670
AT2G01680,0.150244052314646,AT2G01680
AT2G01690,0.104482446701479,AT2G01690
AT2G01710,0.140478923201105,AT2G01710
AT2G01720,0.105566919100475,AT2G01720
AT2G01730,0.383788367642919,AT2G01730
AT2G01735,0.266176681118129,AT2G01735
AT2G01740,0.250427888235763,AT2G01740
AT2G01750,0.155780208651319,AT2G01750
AT2G01755,0.299768999122227,AT2G01755
AT2G01760,0.193542844084338,AT2G01760
AT2G01770,0.740591449224388,AT2G01770
AT2G01780,0.916162111157471,AT2G01780
AT2G01790,0.871339604194738,AT2G01790
AT2G01800,0.935798477071583,AT2G01800
AT2G01810,0.718417697334111,AT2G01810
AT2G01818,0.400708753834968,AT2G01818
AT2G01820,0.111259491579367,AT2G01820
AT2G01830,0.225625002548557,AT2G01830
AT2G01850,0.262237433894251,AT2G01850
AT2G01860,0.296635126353436,AT2G01860
AT2G01870,0.318314575415135,AT2G01870
AT2G01880,0.811053363649455,AT2G01880
AT2G01890,0.549181233685511,AT2G01890
AT2G01900,0.833267772145428,AT2G01900
AT2G01905,0.414096577803829,AT2G01905
AT2G01910,0.166384526584185,AT2G01910
AT2G01913,0.371735466226054,AT2G01913
AT2G01918,0.442037230979788,AT2G01918
AT2G01920,0.85283580067522,AT2G01920
AT2G01930,0.227562448603654,AT2G01930
AT2G01940,0.357665284252298,AT2G01940
AT2G01950,0.282098107938392,AT2G01950
AT2G01960,0.914965703546587,AT2G01960
AT2G01970,0.155401685288512,AT2G01970
AT2G01980,0.128837380867965,AT2G01980
AT2G01990,0.371077672668699,AT2G01990
AT2G02000,0.756169839421003,AT2G02000
AT2G02010,0.586491772235742,AT2G02010
AT2G02020,0.402498832840442,AT2G02020
AT2G02023,0.94329096806124,AT2G02023
AT2G02026,0.953445994744855,AT2G02026
AT2G02030,0.903817830105624,AT2G02030
AT2G02040,0.222536895371794,AT2G02040
AT2G02050,0.140228985163941,AT2G02050
AT2G02060,0.441883322234327,AT2G02060
AT2G02061,0.688119895412064,AT2G02061
AT2G02070,0.183090936052553,AT2G02070
AT2G02080,0.200963288074945,AT2G02080
AT2G02090,0.243273313704584,AT2G02090
AT2G02100,0.239042623752269,AT2G02100
AT2G02103,0.958448091950241,AT2G02103
AT2G02120,0.68992357736424,AT2G02120
AT2G02130,0.170485114193818,AT2G02130
AT2G02140,0.804765377718701,AT2G02140
AT2G02147,0.777896889198692,AT2G02147
AT2G02148,0.0971881576446671,AT2G02148
AT2G02150,0.217727098970661,AT2G02150
AT2G02160,0.156068610434302,AT2G02160
AT2G02170,0.205406250148401,AT2G02170
AT2G02180,0.315501351043645,AT2G02180
AT2G02220,0.176013129620035,AT2G02220
AT2G02230,0.238562812635994,AT2G02230
AT2G02240,0.531331446899367,AT2G02240
AT2G02250,0.899519328257564,AT2G02250
AT2G02280,0.966370276864875,AT2G02280
AT2G02290,0.952537221972912,AT2G02290
AT2G02300,0.86993014271078,AT2G02300
AT2G02310,0.881379929279633,AT2G02310
AT2G02320,0.871384212557019,AT2G02320
AT2G02340,0.872553141240915,AT2G02340
AT2G02350,0.405019790226273,AT2G02350
AT2G02360,0.251555573258707,AT2G02360
AT2G02370,0.174935759818548,AT2G02370
AT2G02380,0.304154002194867,AT2G02380
AT2G02390,0.279577828736954,AT2G02390
AT2G02400,0.231127267087527,AT2G02400
AT2G02410,0.202509858425803,AT2G02410
AT2G02440,0.926888210736303,AT2G02440
AT2G02450,0.35475710643076,AT2G02450
AT2G02455,0.818753722587063,AT2G02455
AT2G02470,0.192732384121881,AT2G02470
AT2G02480,0.235463693254351,AT2G02480
AT2G02490,0.802356341696387,AT2G02490
AT2G02493,NA,AT2G02493
AT2G02497,0.853244930704951,AT2G02497
AT2G02498,0.912726243620128,AT2G02498
AT2G02500,0.182795549879227,AT2G02500
AT2G02510,0.163766662990431,AT2G02510
AT2G02515,0.803198434320642,AT2G02515
AT2G02520,0.863165255374672,AT2G02520
AT2G02525,0.853961629441226,AT2G02525
AT2G02540,0.406736156172994,AT2G02540
AT2G02550,0.968539601875669,AT2G02550
AT2G02560,0.0784891402389234,AT2G02560
AT2G02570,0.169821279527753,AT2G02570
AT2G02580,0.783624663818465,AT2G02580
AT2G02590,0.20823689327411,AT2G02590
AT2G02610,0.846049629165266,AT2G02610
AT2G02620,0.890416167785437,AT2G02620
AT2G02630,0.925447465258592,AT2G02630
AT2G02635,0.937567317296258,AT2G02635
AT2G02640,0.90763988888257,AT2G02640
AT2G02650,0.922134481651992,AT2G02650
AT2G02660,0.836507527357774,AT2G02660
AT2G02680,0.539686225171965,AT2G02680
AT2G02690,0.914715851019558,AT2G02690
AT2G02695,0.978439249852939,AT2G02695
AT2G02700,0.845380807481544,AT2G02700
AT2G02710,0.344308000906761,AT2G02710
AT2G02720,0.768755941434705,AT2G02720
AT2G02730,0.178638235184643,AT2G02730
AT2G02740,0.2556726001467,AT2G02740
AT2G02750,0.215317929187907,AT2G02750
AT2G02760,0.207878546811983,AT2G02760
AT2G02765,0.151851137253593,AT2G02765
AT2G02770,0.847568548177634,AT2G02770
AT2G02780,0.30468123891162,AT2G02780
AT2G02790,0.15447324336566,AT2G02790
AT2G02795,0.859860676016254,AT2G02795
AT2G02800,0.136921290114855,AT2G02800
AT2G02810,0.322268936662759,AT2G02810
AT2G02820,0.174299206694836,AT2G02820
AT2G02835,0.875657761094338,AT2G02835
AT2G02840,0.881295948140679,AT2G02840
AT2G02850,0.49565080366234,AT2G02850
AT2G02860,0.176042204557757,AT2G02860
AT2G02870,0.259435209889538,AT2G02870
AT2G02880,0.222946670917864,AT2G02880
AT2G02890,0.866133965189307,AT2G02890
AT2G02910,0.111653895748887,AT2G02910
AT2G02930,0.782503372374488,AT2G02930
AT2G02950,0.487730765985701,AT2G02950
AT2G02955,0.34910644634692,AT2G02955
AT2G02960,0.321451115650791,AT2G02960
AT2G02970,0.413990927930972,AT2G02970
AT2G02980,0.224519348185889,AT2G02980
AT2G02990,0.520813113691747,AT2G02990
AT2G03000,0.879878469725635,AT2G03000
AT2G03010,0.207358231420284,AT2G03010
AT2G03020,0.587485789280659,AT2G03020
AT2G03030,0.994548605479471,AT2G03030
AT2G03040,0.793426427843856,AT2G03040
AT2G03050,0.241875418964042,AT2G03050
AT2G03060,0.463074564037732,AT2G03060
AT2G03070,0.110426575363271,AT2G03070
AT2G03090,0.263175032389311,AT2G03090
AT2G03110,0.312217579648708,AT2G03110
AT2G03120,0.138533410261521,AT2G03120
AT2G03130,0.742818238376927,AT2G03130
AT2G03140,0.102042350464032,AT2G03140
AT2G03150,0.0646068174296091,AT2G03150
AT2G03160,0.936309679703402,AT2G03160
AT2G03170,0.914335509964629,AT2G03170
AT2G03180,0.932817048075291,AT2G03180
AT2G03190,0.833595257407964,AT2G03190
AT2G03200,0.591710900577668,AT2G03200
AT2G03210,0.641989591360473,AT2G03210
AT2G03220,0.130877641355248,AT2G03220
AT2G03240,0.207829774052557,AT2G03240
AT2G03230,NA,AT2G03230
AT2G03250,0.865457643829768,AT2G03250
AT2G03260,0.295035443408762,AT2G03260
AT2G03270,0.253956682013485,AT2G03270
AT2G03280,0.261818021716779,AT2G03280
AT2G03290,0.709974719409765,AT2G03290
AT2G03300,1,AT2G03300
AT2G03310,0.430939639425214,AT2G03310
AT2G03320,0.900101318843377,AT2G03320
AT2G03330,0.191364717337965,AT2G03330
AT2G03340,0.295667624518073,AT2G03340
AT2G03350,0.164615049688288,AT2G03350
AT2G03360,0.747199552114659,AT2G03360
AT2G03370,0.846366170482495,AT2G03370
AT2G03380,0.206442707667464,AT2G03380
AT2G03390,0.122805246300848,AT2G03390
AT2G03420,0.975080411689948,AT2G03420
AT2G03410,0.552640446586064,AT2G03410
AT2G03430,0.221169116143769,AT2G03430
AT2G03440,0.225334363412556,AT2G03440
AT2G03450,0.243831956297102,AT2G03450
AT2G03460,0.856468013921376,AT2G03460
AT2G03470,0.291193010224715,AT2G03470
AT2G03480,0.290616757013402,AT2G03480
AT2G03500,0.281254315709281,AT2G03500
AT2G03505,0.473752038383271,AT2G03505
AT2G03510,0.173746999493007,AT2G03510
AT2G03520,0.813877805197253,AT2G03520
AT2G03530,0.328289983605382,AT2G03530
AT2G03550,0.280950467162577,AT2G03550
AT2G03560,0.798518021717908,AT2G03560
AT2G03565,0.877762383894814,AT2G03565
AT2G03567,0.965434106296471,AT2G03567
AT2G03570,0.988304110151847,AT2G03570
AT2G03580,0.881899518438007,AT2G03580
AT2G03590,0.552821582021208,AT2G03590
AT2G03600,0.886484478530135,AT2G03600
AT2G03610,0.856999549246304,AT2G03610
AT2G03620,0.161924909404217,AT2G03620
AT2G03630,0.868777925159119,AT2G03630
AT2G03640,0.125066047740428,AT2G03640
AT2G03667,0.0924192891170487,AT2G03667
AT2G03670,0.197261912893605,AT2G03670
AT2G03680,0.105297339267569,AT2G03680
AT2G03690,0.230268776877987,AT2G03690
AT2G03710,0.359869380776357,AT2G03710
AT2G03720,0.891102931216727,AT2G03720
AT2G03730,0.221281859919034,AT2G03730
AT2G03740,0.866594088975656,AT2G03740
AT2G03750,0.238022306885422,AT2G03750
AT2G03760,0.432905867999063,AT2G03760
AT2G03770,0.620172469149855,AT2G03770
AT2G03780,0.158700111684789,AT2G03780
AT2G03800,0.176391678495304,AT2G03800
AT2G03810,0.178125315105576,AT2G03810
AT2G03820,0.141458948424875,AT2G03820
AT2G03821,0.735606806733914,AT2G03821
AT2G03823,NA,AT2G03823
AT2G03822,0.925956591842601,AT2G03822
AT2G03830,0.731814833132578,AT2G03830
AT2G03840,0.897825272290898,AT2G03840
AT2G03850,0.771570099922149,AT2G03850
AT2G03870,0.150659637518997,AT2G03870
AT2G03880,0.258463110350755,AT2G03880
AT2G03890,0.10973689243539,AT2G03890
AT2G03913,0.930359108090261,AT2G03913
AT2G03930,0.982753215208254,AT2G03930
AT2G03932,0.991980550532595,AT2G03932
AT2G03931,0.900348049514086,AT2G03931
AT2G03933,0.826057569088439,AT2G03933
AT2G03936,0.920581658878061,AT2G03936
AT2G03937,0.885300538669598,AT2G03937
AT2G03955,0.837365337740413,AT2G03955
AT2G03965,0.844401643587743,AT2G03965
AT2G03980,0.42541218164287,AT2G03980
AT2G04020,0.912837326496317,AT2G04020
AT2G04025,0.822451846991442,AT2G04025
AT2G04030,0.187370971397778,AT2G04030
AT2G04032,0.622921857023319,AT2G04032
AT2G04034,0.867562461356546,AT2G04034
AT2G04031,0.86019840777919,AT2G04031
AT2G04037,0.856974077142367,AT2G04037
AT2G04041,0.85987543247928,AT2G04041
AT2G04045,0.868564925168355,AT2G04045
AT2G04046,0.828854677525321,AT2G04046
AT2G04038,0.85372658641195,AT2G04038
AT2G04137,0.971940019638117,AT2G04137
AT2G04039,0.388775325027395,AT2G04039
AT2G04040,0.773146941977456,AT2G04040
AT2G04050,0.715831796846666,AT2G04050
AT2G04060,0.95204346670845,AT2G04060
AT2G04062,0.986597825793744,AT2G04062
AT2G04063,0.966442124191289,AT2G04063
AT2G04066,0.971922684801128,AT2G04066
AT2G04070,0.754030166847334,AT2G04070
AT2G04080,0.368218003756014,AT2G04080
AT2G04090,0.910557053056158,AT2G04090
AT2G04100,0.59606246203423,AT2G04100
AT2G04115,0.901711766085974,AT2G04115
AT2G04160,0.415425055018423,AT2G04160
AT2G04170,0.500989218745133,AT2G04170
AT2G04190,0.840618629123279,AT2G04190
AT2G04220,0.885026263408937,AT2G04220
AT2G04230,0.150878870420509,AT2G04230
AT2G04235,0.229067116414845,AT2G04235
AT2G04240,0.186526059868173,AT2G04240
AT2G04270,0.166781303515876,AT2G04270
AT2G04280,0.12737638627075,AT2G04280
AT2G04300,0.930445335704828,AT2G04300
AT2G04305,0.14938232089864,AT2G04305
AT2G04340,0.133677441787483,AT2G04340
AT2G04350,0.170679574322249,AT2G04350
AT2G04360,0.162305148421359,AT2G04360
AT2G04378,0.240821986358698,AT2G04378
AT2G04380,0.112006822920363,AT2G04380
AT2G04390,0.217098526870751,AT2G04390
AT2G04395,0.666546161256267,AT2G04395
AT2G04400,0.214853136220649,AT2G04400
AT2G04410,0.285699862747633,AT2G04410
AT2G04420,0.765281397520586,AT2G04420
AT2G04425,0.905393211673898,AT2G04425
AT2G04430,0.270760721278461,AT2G04430
AT2G04440,0.758937162829868,AT2G04440
AT2G04450,0.371483100932414,AT2G04450
AT2G04480,0.867389747963816,AT2G04480
AT2G04495,0.702141345139886,AT2G04495
AT2G04500,0.868478480152606,AT2G04500
AT2G04515,0.741222427218018,AT2G04515
AT2G04520,0.159714473458772,AT2G04520
AT2G04530,0.231085912576122,AT2G04530
AT2G04540,0.121992816404579,AT2G04540
AT2G04550,0.177314578987816,AT2G04550
AT2G04560,0.159428414507654,AT2G04560
AT2G04570,0.467833661022287,AT2G04570
AT2G04620,0.113841200593835,AT2G04620
AT2G04621,NA,AT2G04621
AT2G04622,0.994302586837839,AT2G04622
AT2G04630,0.178791259601591,AT2G04630
AT2G04650,0.230228268820186,AT2G04650
AT2G04660,0.110538204565625,AT2G04660
AT2G04675,0.950465562635993,AT2G04675
AT2G04680,0.827799607451152,AT2G04680
AT2G04690,0.32190453257799,AT2G04690
AT2G04700,0.162829773220914,AT2G04700
AT2G04740,0.184357693563399,AT2G04740
AT2G04750,0.814660874418289,AT2G04750
AT2G04780,0.255945246372479,AT2G04780
AT2G04790,0.346115206509733,AT2G04790
AT2G04795,0.454629021093107,AT2G04795
AT2G04800,0.8711332421552,AT2G04800
AT2G04810,0.770909613313544,AT2G04810
AT2G04830,0.958568535619171,AT2G04830
AT2G04840,0.90505041975058,AT2G04840
AT2G04842,0.169578675375127,AT2G04842
AT2G04845,0.181596409786606,AT2G04845
AT2G04850,0.184389520095147,AT2G04850
AT2G04860,0.217741213725756,AT2G04860
AT2G04865,0.207273981144768,AT2G04865
AT2G04870,0.952973033162892,AT2G04870
AT2G04880,0.141239308674522,AT2G04880
AT2G04890,0.312425293313349,AT2G04890
AT2G04900,0.218591371213846,AT2G04900
AT2G04910,0.859637132101085,AT2G04910
AT2G04920,0.873368641194648,AT2G04920
AT2G04925,0.830398723613039,AT2G04925
AT2G04930,0.920990363873868,AT2G04930
AT2G04940,0.158336663669956,AT2G04940
AT2G05050,0.985021276256124,AT2G05050
AT2G05060,0.822598475831022,AT2G05060
AT2G05070,0.317788681679721,AT2G05070
AT2G05100,0.343185941486084,AT2G05100
AT2G05105,0.98390179848048,AT2G05105
AT2G05117,0.924065916064386,AT2G05117
AT2G05120,0.18887016937127,AT2G05120
AT2G05140,0.971794618735655,AT2G05140
AT2G05160,0.437564119565191,AT2G05160
AT2G05170,0.150413500157343,AT2G05170
AT2G05180,0.695072624629774,AT2G05180
AT2G05185,0.383130432368059,AT2G05185
AT2G05210,0.103385287520948,AT2G05210
AT2G05220,0.205365766838424,AT2G05220
AT2G05230,0.372617934102068,AT2G05230
AT2G05250,0.294082411406591,AT2G05250
AT2G05260,0.283639722820876,AT2G05260
AT2G05270,0.834433237646153,AT2G05270
AT2G05294,0.960786385580899,AT2G05294
AT2G05310,0.203620231061458,AT2G05310
AT2G05320,0.152042698305007,AT2G05320
AT2G05330,0.776479962036856,AT2G05330
AT2G05335,0.891431449054603,AT2G05335
AT2G05350,0.791495097549118,AT2G05350
AT2G05360,0.928311827726687,AT2G05360
AT2G05370,0.882944112283845,AT2G05370
AT2G05380,0.457922837376543,AT2G05380
AT2G05400,0.910892106535945,AT2G05400
AT2G05410,0.901507987049079,AT2G05410
AT2G05420,0.847109060972474,AT2G05420
AT2G05430,0.880396935725071,AT2G05430
AT2G05440,0.762397582017439,AT2G05440
AT2G05510,0.86691696525167,AT2G05510
AT2G05520,0.31771174040884,AT2G05520
AT2G05530,0.884773947587002,AT2G05530
