Species,Classification,Duplicate.1,Duplicate.2,Duplicate.1_TE_presence,Duplicate.2_TE_presence,Gene_Count,Gene_Percent,TE_Group
Alyrata,gbM-unM,gbM,unM,0,0,69,0.0691382765531062,0-0
Alyrata,gbM-unM,gbM,unM,1,0,149,0.149298597194389,1-0
Alyrata,gbM-unM,gbM,unM,0,1,174,0.17434869739479,0-1
Alyrata,gbM-unM,gbM,unM,1,1,606,0.607214428857715,1-1
Alyrata,unM-teM,unM,teM,0,0,4,0.0089086859688196,0-0
Alyrata,unM-teM,unM,teM,1,0,13,0.0289532293986637,1-0
Alyrata,unM-teM,unM,teM,0,1,61,0.135857461024499,0-1
Alyrata,unM-teM,unM,teM,1,1,371,0.826280623608018,1-1
Alyrata,unM-unM,unM,unM,0,0,206,0.0497104247104247,0-0
Alyrata,unM-unM,unM,unM,1,0,0,0,1-0
Alyrata,unM-unM,unM,unM,0,1,1001,0.241554054054054,0-1
Alyrata,unM-unM,unM,unM,1,1,2937,0.708735521235521,1-1
Alyrata,teM-teM,teM,teM,0,0,13,0.0224913494809689,0-0
Alyrata,teM-teM,teM,teM,1,0,0,0,1-0
Alyrata,teM-teM,teM,teM,0,1,32,0.055363321799308,0-1
Alyrata,teM-teM,teM,teM,1,1,533,0.922145328719723,1-1
Alyrata,gbM-teM,gbM,teM,0,0,3,0.0175438596491228,0-0
Alyrata,gbM-teM,gbM,teM,1,0,7,0.0409356725146199,1-0
Alyrata,gbM-teM,gbM,teM,0,1,26,0.152046783625731,0-1
Alyrata,gbM-teM,gbM,teM,1,1,135,0.789473684210526,1-1
Alyrata,gbM-gbM,gbM,gbM,0,0,111,0.0757162346521146,0-0
Alyrata,gbM-gbM,gbM,gbM,1,0,0,0,1-0
Alyrata,gbM-gbM,gbM,gbM,0,1,526,0.358799454297408,0-1
Alyrata,gbM-gbM,gbM,gbM,1,1,829,0.565484311050477,1-1
